J,mu,p_collapse,rigidity_share,SE
3.5,60,0.1200,0.5000,0.0325
3.5,80,0.1200,0.5000,0.0325
3.5,100,0.0800,0.2500,0.0271
4.0,60,0.1200,0.5000,0.0325
4.0,80,0.1200,0.5833,0.0325
4.0,100,0.1300,0.3846,0.0336
4.5,60,0.2700,0.6667,0.0444
4.5,80,0.2300,0.7391,0.0421
4.5,100,0.1400,0.7857,0.0347
5.0,60,0.3100,0.7097,0.0462
5.0,80,0.2700,0.8148,0.0444
5.0,100,0.2400,0.9167,0.0427
