J,mu,p_collapse,rigidity_share,SE
3.5,60,0.2800,1.0000,0.0449
3.5,80,0.2800,1.0000,0.0449
3.5,100,0.2300,1.0000,0.0421
4.0,60,0.3100,1.0000,0.0462
4.0,80,0.2500,1.0000,0.0433
4.0,100,0.2500,1.0000,0.0433
4.5,60,0.3400,1.0000,0.0474
4.5,80,0.2500,1.0000,0.0433
4.5,100,0.3600,1.0000,0.0480
5.0,60,0.3600,1.0000,0.0480
5.0,80,0.3300,1.0000,0.0470
5.0,100,0.2800,1.0000,0.0449
