J,mu,p_collapse,rigidity_share,SE
3.5,60,0.2700,0.8519,0.0444
3.5,80,0.2600,0.9231,0.0439
3.5,100,0.2500,0.9200,0.0433
4.0,60,0.3500,0.9429,0.0477
4.0,80,0.2600,1.0000,0.0439
4.0,100,0.3100,0.9355,0.0462
4.5,60,0.3100,1.0000,0.0462
4.5,80,0.2700,1.0000,0.0444
4.5,100,0.3600,0.9722,0.0480
5.0,60,0.3600,0.9167,0.0480
5.0,80,0.2900,0.9655,0.0454
5.0,100,0.3000,0.9333,0.0458
