traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
599,1,362,1,1,362,1
600,0,-1,0,0,-1,0
601,0,-1,0,0,-1,0
602,0,-1,0,0,-1,0
603,0,-1,0,0,-1,0
604,0,-1,0,0,-1,0
605,0,-1,0,0,-1,0
606,0,-1,0,0,-1,0
607,0,-1,0,0,-1,0
608,0,-1,0,0,-1,0
609,0,-1,0,0,-1,0
610,0,-1,0,0,-1,0
611,0,-1,0,0,-1,0
612,1,301,1,1,303,1
613,0,-1,0,0,-1,0
614,1,321,1,1,360,1
615,1,306,1,1,305,1
616,0,-1,0,0,-1,0
617,1,304,1,1,300,1
618,1,392,1,1,411,1
619,0,-1,0,0,-1,0
620,0,-1,0,0,-1,0
621,1,316,3,1,326,1
622,1,308,3,1,312,2
623,0,-1,0,0,-1,0
624,0,-1,0,0,-1,0
625,1,321,1,1,323,1
626,0,-1,0,0,-1,0
627,0,-1,0,0,-1,0
628,0,-1,0,0,-1,0
629,0,-1,0,0,-1,0
630,1,286,1,1,295,1
631,1,304,1,1,314,1
632,0,-1,0,0,-1,0
633,0,-1,0,0,-1,0
634,0,-1,0,0,-1,0
635,0,-1,0,0,-1,0
636,0,-1,0,0,-1,0
637,0,-1,0,0,-1,0
638,0,-1,0,0,-1,0
639,1,469,3,0,-1,0
640,0,-1,0,0,-1,0
641,1,269,1,1,272,1
642,0,-1,0,0,-1,0
643,1,325,1,1,325,1
644,0,-1,0,0,-1,0
645,1,284,1,1,284,1
646,1,267,1,0,-1,0
647,0,-1,0,0,-1,0
648,0,-1,0,0,-1,0
649,0,-1,0,0,-1,0
650,0,-1,0,0,-1,0
651,0,-1,0,0,-1,0
652,0,-1,0,0,-1,0
653,0,-1,0,0,-1,0
654,0,-1,0,0,-1,0
655,1,278,1,1,282,3
656,1,276,1,1,276,1
657,0,-1,0,0,-1,0
658,0,-1,0,0,-1,0
659,0,-1,0,0,-1,0
660,1,299,1,1,301,3
661,0,-1,0,0,-1,0
662,0,-1,0,0,-1,0
663,0,-1,0,0,-1,0
664,0,-1,0,0,-1,0
665,1,277,3,1,278,3
666,0,-1,0,0,-1,0
667,0,-1,0,0,-1,0
668,1,299,1,1,300,1
669,0,-1,0,0,-1,0
670,0,-1,0,0,-1,0
671,0,-1,0,0,-1,0
672,0,-1,0,0,-1,0
673,0,-1,0,0,-1,0
674,1,274,1,1,276,1
675,1,296,3,1,299,1
676,0,-1,0,0,-1,0
677,0,-1,0,0,-1,0
678,1,328,1,1,349,3
679,0,-1,0,0,-1,0
680,0,-1,0,0,-1,0
681,0,-1,0,0,-1,0
682,1,280,1,1,282,1
