crisis,rho_max,rho_mean,DB_min,DB_mean,DB_min_norm,NFCI_max,n_sectors
2008 GFC,0.8324372762886431,0.7361988831763531,1.0799287685640147,1.1483729608163733,0.3599762561880049,3.061,9
Eurozone crisis,0.920293353722143,0.8940432210566958,1.0349686227567325,1.0462415162348027,0.3449895409189108,-0.035,9
China devaluation 2015,0.8002123434527921,0.7183270058285679,1.102241016339875,1.165329252071603,0.3674136721132917,-0.398,9
COVID Mar 2020,0.9205296505709032,0.8007341951723463,1.038955546849225,1.1149894892189758,0.32854659157093263,0.306,10
2022 inflation,0.7365498879920739,0.6386952820138754,1.1556845942326164,1.2388506846800869,0.36545955745425607,-0.101,10
Aug 2024 carry,0.4501209618869006,0.4206445420793965,1.4267042693997618,1.4673956482167128,0.4511635038789716,-0.366,10
