Date,n_sectors,rho,sigma_single,sigma_port,DB,DB_theory,DB_max,NFCI,VIX
2004-03-30,9,0.5747766614086361,0.14418728026735597,0.1140011019001885,1.2647884789183566,1.2679336686002618,3.0,-0.803,16.280000686645508
2004-03-31,9,0.5661288346889822,0.14225750799583572,0.11166837923063418,1.2739282953325965,1.2758415891236743,3.0,-0.803,16.739999771118164
2004-04-01,9,0.5627883934620944,0.1428462647835812,0.1118857364137342,1.2767155971996313,1.2789360813101334,3.0,-0.803,16.649999618530273
2004-04-02,9,0.5598506353411451,0.1442871094784437,0.1129641888892623,1.277281861598519,1.2816762293267026,3.0,-0.795,15.640000343322754
2004-04-05,9,0.5640347546516561,0.14429482352860606,0.11331319030030794,1.2734159469536526,1.277778855370461,3.0,-0.795,14.970000267028809
2004-04-06,9,0.5612174865552321,0.14335339916329376,0.11236074756239812,1.275831660729066,1.2803991313359122,3.0,-0.795,15.31999969482422
2004-04-07,9,0.5651536204206438,0.14362919187108486,0.11289041091100921,1.2722886798977713,1.2767426781440905,3.0,-0.795,15.760000228881836
2004-04-08,9,0.5618312941440284,0.1434362157706017,0.11241378306528074,1.2759664505490902,1.2798268697203437,3.0,-0.795,16.260000228881836
2004-04-12,9,0.5521887308533437,0.14399096709484013,0.11212194784593418,1.2842353335913936,1.2889064589880967,3.0,-0.784,15.279999732971191
2004-04-13,9,0.5750918565643356,0.14712898980627193,0.11654168389250709,1.2624580741597764,1.2676482121000463,3.0,-0.784,17.260000228881836
2004-04-14,9,0.5745772321046272,0.14669729360762745,0.11614689550276795,1.2630324122966459,1.2681143813929503,3.0,-0.784,15.619999885559082
2004-04-15,9,0.5786571549861472,0.1464486618866925,0.11631629546473847,1.2590554169694024,1.2644326662851622,3.0,-0.784,15.739999771118164
2004-04-16,9,0.5804576239497756,0.1454950127000519,0.11583843827468959,1.2560166976270621,1.2628180929088733,3.0,-0.77,14.9399995803833
2004-04-19,9,0.5812309322131428,0.14538666596299174,0.11575713582209711,1.2559628823784235,1.2621265236974775,3.0,-0.77,15.420000076293944
2004-04-20,9,0.6034921084728831,0.14792185140131864,0.11958432786709954,1.2369668671442642,1.2426929526509685,3.0,-0.77,16.670000076293945
2004-04-21,9,0.6000017234652013,0.14707239756828597,0.11842149914427834,1.2419400077776497,1.2456807171950015,3.0,-0.77,15.600000381469728
2004-04-22,9,0.6139659633646087,0.15098800925293301,0.12292817497609497,1.2282620260350783,1.2338547676589462,3.0,-0.77,14.609999656677246
2004-04-23,9,0.6087261055271327,0.148406319540394,0.12014545684247169,1.235222066989819,1.238252677051948,3.0,-0.755,14.010000228881836
2004-04-26,9,0.6132082856596361,0.147791274520162,0.12012282005767978,1.2303347061715382,1.2344878034225288,3.0,-0.755,14.770000457763672
2004-04-27,9,0.614663947381697,0.14794402428259262,0.12033957156185843,1.2293879923491717,1.2332724666176031,3.0,-0.755,15.06999969482422
2004-04-28,9,0.6261189867950282,0.15092546485552277,0.12383929938388813,1.218720273825763,1.2238322435909277,3.0,-0.755,16.290000915527344
2004-04-29,9,0.6290966848791268,0.1525757904271758,0.12545320654747455,1.2161968165352348,1.2214135832373132,3.0,-0.755,16.600000381469727
2004-04-30,9,0.6321431859829973,0.15175281860127315,0.124974110769042,1.2142740417790967,1.2189538183517463,3.0,-0.74,17.190000534057617
2004-05-03,9,0.642112931176021,0.15247435524489075,0.12626204896932527,1.207602414894547,1.2110068769555646,3.0,-0.74,16.6200008392334
2004-05-04,9,0.6341800922664391,0.15070547929222738,0.12415186369342497,1.2138801207557601,1.2173174725241662,3.0,-0.74,16.549999237060547
2004-05-05,9,0.6365115500830794,0.15046123111863574,0.12416259583250466,1.2118080337302866,1.2154525631990374,3.0,-0.74,15.770000457763672
2004-05-06,9,0.6332220468868316,0.15062651702697394,0.1241370826278325,1.2133885688175685,1.2180862956000833,3.0,-0.74,17.049999237060547
2004-05-07,9,0.6471684939921103,0.1549605139524863,0.12855567389390177,1.205396146733879,1.2070359979424359,3.0,-0.725,18.1299991607666
2004-05-10,9,0.6496961648198702,0.15712277937684227,0.13035761378491068,1.2053210764972575,1.2050652366481194,3.0,-0.725,19.770000457763672
2004-05-11,9,0.6472226815801922,0.15812229952171514,0.13110539626622408,1.2060701086676113,1.2069936477768275,3.0,-0.725,18.56999969482422
2004-05-12,9,0.6367857878854575,0.15723292392398205,0.12960176783948218,1.213200456638233,1.2152337660981682,3.0,-0.725,18.13999938964844
2004-05-13,9,0.6361814472471463,0.15708902760912394,0.12942206304998408,1.2137731690187523,1.2157160883079499,3.0,-0.725,18.86000061035156
