xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.2,3.26,0.322306847141042,1.61153423570521,0.046043835305863146
0.35,0.2,3.27,0.32357231430717287,1.6178615715358642,0.046224616329596124
0.35,0.2,3.28,0.32483268139484517,1.6241634069742257,0.046404668770692166
0.35,0.2,3.29,0.32608800759617335,1.6304400379808666,0.04658400108516762
0.35,0.2,3.3,0.3273383509605312,1.636691754802656,0.046762621565790176
0.35,0.2,3.31,0.32858376842523557,1.6429188421261778,0.046940538346462224
0.35,0.2,3.32,0.32982431584517935,1.6491215792258966,0.04711775940645419
0.35,0.2,3.33,0.3310600480214547,1.6553002401072736,0.04729429257449353
0.35,0.2,3.34,0.3322910187290132,1.6614550936450658,0.04747014553271617
0.35,0.2,3.35,0.3335172807433951,1.6675864037169754,0.047645325820485016
0.35,0.2,3.36,0.3347388858665734,1.673694429332867,0.04781984083808192
0.35,0.2,3.37,0.33595588495194234,1.6797794247597115,0.047993697850277475
0.35,0.2,3.38,0.33716832792848755,1.6858416396424376,0.04816690398978394
0.35,0.2,3.39,0.3383762638241709,1.6918813191208544,0.04833946626059584
0.35,0.2,3.4,0.33957974078855696,1.6978987039427846,0.04851139154122242
0.35,0.2,3.41,0.34077880611471834,1.7038940305735917,0.0486826865878169
0.35,0.2,3.42,0.3419735062604386,1.709867531302193,0.048853358037205516
0.35,0.2,3.43,0.34316388686874927,1.7158194343437463,0.049023412409821325
0.35,0.2,3.44,0.3443499927878173,1.7217499639390865,0.04919285611254533
0.35,0.2,3.45,0.3455318680902171,1.7276593404510854,0.04936169544145958
0.35,0.2,3.46,0.3467095560916022,1.7335477804580108,0.0495299365845146
0.35,0.2,3.47,0.347883099368804,1.73941549684402,0.04969758562411486
0.35,0.2,3.48,0.3490525397773785,1.7452626988868924,0.0498646485396255
0.35,0.2,3.49,0.35021791846861927,1.7510895923430962,0.05003113120980275
0.35,0.2,3.5,0.35137927590605755,1.7568963795302877,0.05019703941515108
0.35,0.2,3.51,0.3525366518814702,1.762683259407351,0.05036237884021003
0.35,0.2,3.52,0.35369008553041054,1.7684504276520525,0.050527155075772934
0.35,0.2,3.53,0.35483961534727876,1.7741980767363936,0.05069137362103982
0.35,0.2,3.54,0.3559852791999535,1.7799263959997673,0.050855039885707644
0.35,0.2,3.55,0.35712711434399347,1.7856355717199672,0.05101815919199907
