J,mu,p_collapse,rigidity_share,fragmentation_share,SE
3.5,60,0.2300,0.6522,0.0435,0.0421
3.5,80,0.2200,0.5455,0.0000,0.0414
3.5,100,0.2300,0.6522,0.0000,0.0421
4.0,60,0.2800,0.7143,0.0000,0.0449
4.0,80,0.2800,0.7857,0.0357,0.0449
4.0,100,0.2300,0.7391,0.0435,0.0421
4.5,60,0.2600,0.7308,0.0000,0.0439
4.5,80,0.3300,0.8485,0.0000,0.0470
4.5,100,0.2400,0.9167,0.0000,0.0427
5.0,60,0.2900,0.8276,0.0345,0.0454
5.0,80,0.3200,0.8125,0.0000,0.0466
5.0,100,0.3300,0.9394,0.0000,0.0470
