J,mu,p_collapse,rigidity_share,fragmentation_share,SE
3.5,60,0.5800,0.6034,0.0690,0.0494
3.5,80,0.5000,0.5200,0.0400,0.0500
3.5,100,0.3300,0.5758,0.0000,0.0470
4.0,60,0.6600,0.7576,0.0152,0.0474
4.0,80,0.5900,0.6271,0.0169,0.0492
4.0,100,0.5300,0.6604,0.0189,0.0499
4.5,60,0.7200,0.7778,0.0139,0.0449
4.5,80,0.6500,0.8308,0.0462,0.0477
4.5,100,0.5800,0.8103,0.0000,0.0494
5.0,60,0.6200,0.7581,0.0323,0.0485
5.0,80,0.6400,0.8750,0.0156,0.0480
5.0,100,0.7000,0.8143,0.0000,0.0458
