J,mu,p_collapse,rigidity_share,fragmentation_share,SE
3.5,60,0.1600,0.1875,0.1875,0.0367
3.5,80,0.1500,0.3333,0.1333,0.0357
3.5,100,0.0900,0.1111,0.0000,0.0286
4.0,60,0.2400,0.2500,0.1667,0.0427
4.0,80,0.0900,0.5556,0.1111,0.0286
4.0,100,0.0500,0.0000,0.0000,0.0218
4.5,60,0.2200,0.3182,0.1364,0.0414
4.5,80,0.1900,0.2632,0.1053,0.0392
4.5,100,0.1000,0.1000,0.2000,0.0300
5.0,60,0.2100,0.1905,0.0952,0.0407
5.0,80,0.1700,0.2353,0.0588,0.0376
5.0,100,0.2000,0.3000,0.0500,0.0400
