pairing,mu_low,alpha_E_full,r2_E_full,n_E_full,boot_mean_full,boot_se_full,ci_lo_full,ci_hi_full,alpha_E_sub,r2_E_sub,n_E_sub,boot_mean_sub,boot_se_sub,ci_lo_sub,ci_hi_sub,alpha_dP_full,r2_dP_full
primary 40/100,40,0.6309336140475053,0.9292868494718627,11,0.6895256716817488,0.10194807976609094,0.5318039070593824,0.9292273863406809,0.762409712470737,0.7461314560489243,5,0.7360974794126748,0.6920265511459611,-0.46252155647823884,2.38197033343466,0.5672129101702935,0.8829625883464712
control 20/100 (SATURATING),20,0.15109586481011553,0.9688813838544854,12,0.15134971196785357,0.00483332794690166,0.1419239153214323,0.16057172667313635,0.1494750450275971,0.747307827144982,6,0.15025971242552658,0.03635506840587987,0.0768130237001344,0.22132443693459766,0.15109586481011553,0.9688813838544854
alt 60/100,60,1.0451171286282108,0.8404999217767751,8,0.9203461575439276,0.19245464943583507,0.5960964557687946,1.3295466989083509,,,2,0.8581379616651698,2.0472355335521866,-3.304162982536788,5.072211640532048,0.6785273402321771,0.675192573724284
