theoretical_exp_quantile,observed_shifted_waiting
0.343086,0.000000
1.030280,6.600000
1.718840,9.050000
2.408772,9.300000
3.100080,12.650000
3.792772,16.050000
4.486851,21.850000
5.182324,22.100000
5.879197,23.450000
6.577474,24.450000
7.277163,24.550000
7.978267,26.850000
8.680794,28.100000
9.384748,30.750000
10.090137,31.300000
10.796965,33.500000
11.505238,35.050000
12.214963,36.300000
12.926145,37.800000
13.638790,39.600000
14.352905,39.700000
15.068495,41.400000
15.785567,42.800000
16.504126,45.400000
17.224180,45.500000
17.945733,46.500000
18.668793,47.600000
19.393366,49.250000
20.119457,49.650000
20.847074,55.050000
21.576223,56.600000
22.306910,56.900000
23.039142,58.400000
23.772925,59.600000
24.508266,59.950000
25.245172,61.300000
25.983649,62.600000
26.723704,63.050000
27.465343,63.250000
28.208574,64.150000
28.953404,65.750000
29.699838,67.800000
30.447885,71.150000
31.197551,71.400000
31.948843,73.050000
32.701769,74.100000
33.456335,74.550000
34.212548,75.550000
34.970416,78.400000
35.729946,81.400000
36.491145,82.300000
37.254021,83.750000
38.018581,85.650000
38.784833,86.400000
39.552783,87.000000
40.322440,87.200000
41.093812,88.000000
41.866905,89.300000
42.641727,89.300000
43.418287,89.450000
44.196592,91.300000
44.976650,91.550000
45.758468,91.700000
46.542056,91.850000
47.327420,92.500000
48.114570,98.100000
48.903512,99.000000
49.694256,104.850000
50.486809,107.300000
51.281180,109.600000
52.077377,110.650000
52.875408,113.350000
53.675283,113.800000
54.477009,115.100000
55.280595,116.500000
56.086050,117.650000
56.893383,120.550000
57.702602,122.150000
58.513716,122.500000
59.326734,123.550000
60.141665,124.100000
60.958518,124.100000
61.777302,124.750000
62.598027,125.550000
63.420701,126.150000
64.245333,126.600000
65.071934,127.800000
65.900512,127.900000
66.731078,128.100000
67.563639,128.250000
68.398207,128.750000
69.234791,129.000000
70.073401,130.000000
70.914046,131.500000
71.756736,132.050000
72.601482,132.350000
73.448293,136.500000
74.297179,137.600000
75.148151,137.650000
76.001220,140.700000
76.856394,141.800000
77.713686,141.900000
78.573104,142.900000
79.434661,147.650000
80.298366,150.800000
81.164230,151.100000
82.032265,152.750000
82.902480,155.650000
83.774887,156.700000
84.649498,157.300000
85.526323,157.550000
86.405373,157.950000
87.286659,158.450000
88.170194,160.700000
89.055989,161.500000
89.944055,161.700000
90.834404,163.050000
91.727048,163.550000
92.621998,165.900000
93.519267,167.000000
94.418866,167.000000
95.320808,167.450000
96.225105,170.350000
97.131769,170.650000
98.040813,170.700000
98.952249,171.350000
99.866090,175.000000
100.782349,175.950000
101.701038,176.150000
102.622170,176.250000
103.545759,176.350000
104.471817,178.600000
105.400358,180.950000
106.331395,181.600000
107.264942,183.100000
108.201011,184.150000
109.139618,186.600000
110.080774,186.850000
111.024496,187.850000
111.970796,189.100000
112.919688,189.850000
113.871188,190.900000
114.825308,191.600000
115.782064,192.500000
116.741471,194.400000
117.703543,194.400000
118.668294,194.500000
119.635740,195.600000
120.605897,196.150000
121.578778,198.700000
122.554400,199.300000
123.532778,201.850000
124.513927,202.500000
125.497864,202.850000
126.484604,203.100000
127.474164,204.750000
128.466558,206.400000
129.461805,207.550000
130.459919,207.700000
131.460919,209.300000
132.464820,211.100000
133.471639,212.300000
134.481393,214.800000
135.494100,215.750000
136.509777,218.750000
137.528441,219.050000
138.550110,221.200000
139.574802,221.450000
140.602534,221.750000
141.633325,222.300000
142.667193,224.750000
143.704157,225.450000
144.744234,225.600000
145.787445,226.400000
146.833807,226.550000
147.883339,227.550000
148.936062,227.600000
149.991995,231.850000
151.051156,232.400000
152.113567,232.450000
153.179246,233.800000
154.248215,235.900000
155.320493,236.300000
156.396101,237.300000
157.475060,238.000000
158.557390,240.350000
159.643114,241.600000
160.732252,241.600000
161.824826,244.100000
162.920857,244.500000
164.020367,245.200000
165.123379,246.950000
166.229916,247.650000
167.339998,248.000000
168.453651,253.050000
169.570895,254.900000
170.691756,258.650000
171.816255,258.750000
172.944418,259.750000
174.076267,261.050000
175.211827,261.350000
176.351123,262.350000
177.494178,262.650000
178.641019,263.250000
179.791670,264.350000
180.946156,264.650000
182.104503,265.550000
183.266738,267.450000
184.432885,267.950000
185.602973,269.550000
186.777027,269.600000
187.955074,270.950000
189.137142,271.350000
190.323258,272.050000
191.513450,272.400000
192.707746,277.250000
193.906175,279.150000
195.108764,280.150000
196.315545,281.500000
197.526544,286.550000
198.741793,286.950000
199.961321,287.250000
201.185158,288.950000
202.413335,289.300000
203.645883,289.700000
204.882832,290.800000
206.124216,293.750000
207.370064,293.950000
208.620410,294.250000
209.875287,294.700000
211.134727,294.800000
212.398763,297.200000
213.667429,297.550000
214.940760,301.150000
216.218789,301.200000
217.501552,301.650000
218.789083,305.050000
220.081419,306.900000
221.378595,307.200000
222.680647,308.850000
223.987613,308.950000
225.299530,309.600000
226.616434,312.800000
227.938366,313.400000
229.265362,313.400000
230.597462,314.650000
231.934705,316.000000
233.277131,320.100000
234.624781,321.100000
235.977695,323.150000
237.335914,326.400000
238.699481,329.150000
240.068438,330.000000
241.442827,331.050000
242.822691,331.650000
244.208075,332.400000
245.599023,332.900000
246.995580,333.300000
248.397790,334.200000
249.805701,334.350000
251.219358,335.150000
252.638809,335.500000
254.064101,335.700000
255.495283,337.850000
256.932404,337.900000
258.375512,340.000000
259.824659,340.000000
261.279894,340.750000
262.741270,341.500000
264.208838,343.800000
265.682651,344.250000
267.162763,344.500000
268.649227,344.600000
270.142098,345.200000
271.641431,346.200000
273.147284,347.000000
274.659712,349.050000
276.178774,351.950000
277.704528,354.000000
279.237033,354.250000
280.776349,354.700000
282.322537,356.200000
283.875659,361.450000
285.435776,363.250000
287.002953,365.000000
288.577254,365.250000
290.158743,366.650000
291.747487,369.200000
293.343552,372.500000
294.947007,377.700000
296.557919,378.650000
298.176359,383.850000
299.802398,385.000000
301.436106,385.400000
303.077557,386.100000
304.726825,386.900000
306.383984,387.400000
308.049110,387.550000
309.722280,387.900000
311.403572,389.400000
313.093066,389.900000
314.790842,390.250000
316.496981,391.400000
318.211566,392.600000
319.934682,393.300000
321.666413,393.650000
323.406847,394.400000
325.156070,396.500000
326.914173,398.550000
328.681246,401.700000
330.457381,404.850000
332.242672,405.700000
334.037212,407.100000
335.841099,409.350000
337.654431,415.700000
339.477306,416.600000
341.309827,416.600000
343.152095,416.650000
345.004214,418.050000
346.866291,422.700000
348.738434,424.950000
350.620751,427.300000
352.513355,429.050000
354.416357,429.150000
356.329873,429.950000
358.254020,431.550000
360.188916,431.750000
362.134683,437.150000
364.091443,438.350000
366.059320,438.550000
368.038443,439.150000
370.028940,439.250000
372.030943,441.700000
374.044586,441.850000
376.070004,442.200000
378.107337,443.800000
380.156725,444.700000
382.218311,446.850000
384.292243,453.100000
386.378668,455.000000
388.477739,455.750000
390.589608,456.150000
392.714434,456.850000
394.852376,460.350000
397.003598,460.700000
399.168265,460.800000
401.346546,460.850000
403.538613,463.050000
405.744643,467.100000
407.964815,467.350000
410.199310,473.550000
412.448315,475.100000
414.712019,476.900000
416.990617,477.000000
419.284304,481.250000
421.593283,483.650000
423.917758,484.850000
426.257940,485.500000
428.614041,485.750000
430.986280,486.400000
433.374880,488.550000
435.780067,490.600000
438.202073,493.200000
440.641136,494.200000
443.097498,500.400000
445.571405,501.900000
448.063111,502.050000
450.572872,504.350000
453.100953,507.550000
455.647623,509.300000
458.213157,509.950000
460.797837,510.100000
463.401951,510.800000
466.025794,512.900000
468.669666,513.200000
471.333875,513.950000
474.018738,516.600000
476.724576,517.450000
479.451721,518.100000
482.200509,518.650000
484.971289,518.750000
487.764413,518.750000
490.580246,519.500000
493.419160,522.650000
496.281536,524.900000
499.167765,527.450000
502.078249,528.850000
505.013399,529.900000
507.973635,531.250000
510.959391,531.900000
513.971110,533.900000
517.009249,534.750000
520.074273,535.050000
523.166665,535.200000
526.286916,536.300000
529.435534,541.400000
532.613038,541.900000
535.819964,542.900000
539.056862,543.750000
542.324297,548.800000
545.622851,549.650000
548.953122,556.650000
552.315727,556.750000
555.711298,561.050000
559.140490,563.650000
562.603974,563.800000
566.102444,564.200000
569.636613,565.550000
573.207217,566.200000
576.815016,567.250000
580.460792,567.550000
584.145354,570.500000
587.869536,571.600000
591.634198,572.450000
595.440231,574.400000
599.288555,575.150000
603.180119,575.200000
607.115906,575.450000
611.096933,575.600000
615.124252,576.350000
619.198953,576.800000
623.322163,579.050000
627.495051,579.350000
631.718829,579.650000
635.994755,580.200000
640.324130,581.150000
644.708310,581.800000
649.148698,583.750000
653.646755,585.000000
658.203999,586.500000
662.822008,587.000000
667.502425,587.450000
672.246958,587.500000
677.057390,587.600000
681.935577,588.050000
686.883455,605.400000
691.903044,607.000000
696.996452,607.950000
702.165885,610.200000
707.413645,615.900000
712.742143,618.900000
718.153902,619.950000
723.651566,620.150000
729.237905,620.550000
734.915828,622.050000
740.688388,624.200000
746.558792,626.600000
752.530415,627.950000
758.606808,628.600000
764.791714,632.750000
771.089080,633.350000
777.503069,635.950000
784.038085,637.750000
790.698781,647.850000
797.490088,648.400000
804.417230,649.450000
811.485751,651.600000
818.701545,652.750000
826.070877,653.200000
833.600424,657.500000
841.297309,659.950000
849.169137,662.100000
857.224048,662.150000
865.470760,662.200000
873.918631,667.100000
882.577721,668.600000
891.458862,669.550000
900.573745,670.000000
909.935005,674.250000
919.556333,675.650000
929.452593,676.800000
939.639962,680.800000
950.136084,682.800000
960.960264,684.500000
972.133669,687.950000
983.679590,690.050000
995.623723,692.200000
1007.994522,696.150000
1020.823602,703.100000
1034.146227,712.100000
1048.001896,713.100000
1062.435049,715.900000
1077.495924,715.950000
1093.241614,718.450000
1109.737377,724.350000
1127.058263,725.800000
1145.291186,726.250000
1164.537556,727.000000
1184.916701,729.550000
1206.570348,729.900000
1229.668609,731.250000
1254.418102,731.850000
1281.073216,732.350000
1309.952065,733.000000
1341.459735,733.000000
1376.123195,736.550000
1414.645698,737.350000
1457.995395,738.900000
1507.557735,739.800000
1565.416172,741.300000
1634.917574,743.900000
1721.959206,744.400000
1838.494866,744.500000
2015.417045,745.350000
2395.916517,745.900000
