theoretical_exp_quantile,observed_shifted_waiting
0.384911,0.000000
1.156011,2.150000
1.928820,7.600000
2.703347,8.150000
3.479598,8.500000
4.257583,9.000000
5.037308,9.350000
5.818781,13.700000
6.602010,14.400000
7.387003,15.850000
8.173768,16.100000
8.962314,17.050000
9.752647,17.550000
10.544777,19.050000
11.338711,24.500000
12.134457,25.300000
12.932025,25.800000
13.731422,25.800000
14.532656,29.400000
15.335737,29.950000
16.140672,30.350000
16.947471,30.750000
17.756141,34.000000
18.566693,34.250000
19.379133,35.850000
20.193472,35.900000
21.009718,36.850000
21.827880,37.050000
22.647967,37.950000
23.469989,44.800000
24.293953,46.700000
25.119870,51.000000
25.947749,51.100000
26.777599,51.200000
27.609430,51.350000
28.443251,53.350000
29.279071,54.350000
30.116900,55.750000
30.956748,62.450000
31.798625,62.500000
32.642541,63.100000
33.488504,63.200000
34.336526,63.600000
35.186617,64.200000
36.038785,65.900000
36.893043,67.500000
37.749399,67.750000
38.607865,68.350000
39.468450,81.850000
40.331166,82.250000
41.196022,84.350000
42.063029,86.050000
42.932199,86.450000
43.803542,87.750000
44.677068,89.300000
45.552789,91.050000
46.430716,92.900000
47.310861,93.200000
48.193233,94.100000
49.077845,97.850000
49.964707,98.100000
50.853833,98.300000
51.745232,101.950000
52.638916,102.200000
53.534899,104.500000
54.433190,106.800000
55.333802,107.550000
56.236748,108.500000
57.142039,110.600000
58.049688,111.650000
58.959706,113.000000
59.872107,113.650000
60.786902,114.200000
61.704105,115.600000
62.623728,116.500000
63.545784,118.000000
64.470285,119.050000
65.397246,120.800000
66.326678,121.850000
67.258595,122.750000
68.193011,124.250000
69.129939,130.600000
70.069392,131.200000
71.011384,132.150000
71.955929,135.500000
72.903040,138.800000
73.852733,139.000000
74.805020,140.600000
75.759916,141.550000
76.717435,143.800000
77.677593,145.300000
78.640402,145.350000
79.605879,147.300000
80.574037,147.500000
81.544893,150.550000
82.518460,151.350000
83.494755,152.400000
84.473791,152.400000
85.455586,152.450000
86.440154,153.550000
87.427511,154.850000
88.417673,156.150000
89.410657,156.300000
90.406477,157.450000
91.405151,158.600000
92.406694,160.000000
93.411124,161.550000
94.418456,163.150000
95.428709,163.200000
96.441898,165.000000
97.458041,165.300000
98.477156,166.100000
99.499259,168.350000
100.524368,168.950000
101.552501,169.650000
102.583676,169.650000
103.617911,170.000000
104.655223,170.300000
105.695633,171.200000
106.739157,171.600000
107.785815,177.300000
108.835626,180.100000
109.888608,180.850000
110.944781,184.100000
112.004165,185.150000
113.066778,185.300000
114.132641,186.600000
115.201773,187.900000
116.274195,188.200000
117.349927,188.800000
118.428989,189.350000
119.511403,190.050000
120.597188,192.400000
121.686367,192.550000
122.778960,192.650000
123.874989,195.600000
124.974475,196.200000
126.077440,198.850000
127.183908,199.150000
128.293899,199.500000
129.407436,199.500000
130.524542,200.950000
131.645240,203.250000
132.769554,208.800000
133.897506,209.150000
135.029120,209.400000
136.164420,209.450000
137.303431,209.750000
138.446176,210.400000
139.592679,211.200000
140.742967,214.150000
141.897064,217.650000
143.054995,220.700000
144.216785,220.900000
145.382461,222.950000
146.552049,223.850000
147.725575,224.200000
148.903066,224.550000
150.084548,224.800000
151.270049,225.750000
152.459595,228.150000
153.653216,229.750000
154.850938,229.850000
156.052791,229.900000
157.258802,230.400000
158.469000,230.700000
159.683416,232.150000
160.902077,233.100000
162.125015,236.100000
163.352259,236.550000
164.583839,238.400000
165.819787,241.950000
167.060133,243.650000
168.304909,245.450000
169.554146,246.750000
170.807877,247.150000
172.066134,247.300000
173.328950,247.900000
174.596359,250.000000
175.868392,250.050000
177.145086,252.600000
178.426473,253.000000
179.712588,255.950000
181.003467,260.000000
182.299144,264.150000
183.599657,264.400000
184.905040,266.250000
186.215330,267.800000
187.530565,273.250000
188.850782,277.650000
190.176019,279.800000
191.506314,280.000000
192.841706,282.150000
194.182234,284.150000
195.527938,286.000000
196.878857,288.100000
198.235034,288.600000
199.596508,289.950000
200.963321,292.300000
202.335515,294.400000
203.713133,297.350000
205.096217,298.250000
206.484812,298.500000
207.878962,298.650000
209.278710,299.650000
210.684102,301.300000
212.095185,301.750000
213.512003,304.700000
214.934605,304.900000
216.363036,308.750000
217.797346,310.200000
219.237583,316.950000
220.683797,317.550000
222.136036,317.850000
223.594351,317.900000
225.058794,321.150000
226.529416,322.050000
228.006269,322.100000
229.489407,324.300000
230.978883,327.200000
232.474752,327.350000
233.977068,328.100000
235.485888,329.450000
237.001268,332.250000
238.523265,332.650000
240.051938,332.900000
241.587346,333.000000
243.129547,333.800000
244.678602,336.750000
246.234573,338.800000
247.797521,339.150000
249.367509,339.300000
250.944602,339.550000
252.528863,340.000000
254.120358,341.450000
255.719154,341.550000
257.325318,344.750000
258.938917,347.300000
260.560022,347.400000
262.188702,348.300000
263.825028,352.450000
265.469073,353.300000
267.120909,353.350000
268.780612,353.600000
270.448256,353.850000
272.123917,353.950000
273.807673,354.600000
275.499603,358.650000
277.199786,359.300000
278.908304,362.450000
280.625237,365.750000
282.350671,370.350000
284.084689,370.750000
285.827377,370.750000
287.578822,372.000000
289.339113,372.700000
291.108339,373.000000
292.886593,374.450000
294.673965,374.900000
296.470551,377.550000
298.276445,381.700000
300.091746,382.650000
301.916550,384.700000
303.750959,387.000000
305.595074,389.250000
307.448998,389.500000
309.312835,389.650000
311.186694,391.000000
313.070682,395.100000
314.964908,396.300000
316.869486,400.500000
318.784529,401.550000
320.710152,401.650000
322.646473,401.700000
324.593611,403.550000
326.551688,404.700000
328.520829,405.150000
330.501157,413.850000
332.492802,414.500000
