theoretical_exp_quantile,observed_shifted_waiting
0.707540,0.000000
2.126972,2.250000
3.552245,2.300000
4.983407,3.000000
6.420508,7.800000
7.863597,9.550000
9.312724,9.850000
10.767939,11.000000
12.229295,13.750000
13.696843,28.350000
15.170636,30.400000
16.650727,31.450000
18.137171,46.400000
19.630022,46.600000
21.129335,46.950000
22.635167,49.700000
24.147574,50.250000
25.666616,50.900000
27.192349,54.400000
28.724832,57.150000
30.264128,63.050000
31.810294,64.550000
33.363395,66.300000
34.923491,67.350000
36.490647,70.400000
38.064926,70.550000
39.646394,73.200000
41.235116,73.800000
42.831159,75.700000
44.434592,77.300000
46.045482,81.900000
47.663900,83.200000
49.289917,85.450000
50.923603,90.950000
52.565031,91.700000
54.214277,92.200000
55.871413,93.000000
57.536516,93.450000
59.209663,98.100000
60.890933,103.550000
62.580404,108.200000
64.278156,109.200000
65.984272,109.300000
67.698834,113.350000
69.421926,113.900000
71.153634,119.300000
72.894044,121.400000
74.643243,125.200000
76.401322,126.850000
78.168371,128.900000
79.944482,134.550000
81.729748,139.750000
83.524264,142.200000
85.328126,143.850000
87.141433,144.150000
88.964284,146.050000
90.796779,147.650000
92.639022,149.150000
94.491116,151.250000
96.353168,154.200000
98.225285,157.250000
100.107577,161.600000
102.000154,164.400000
103.903130,167.150000
105.816620,167.350000
107.740741,169.350000
109.675611,169.900000
111.621351,171.500000
113.578084,177.100000
115.545935,190.200000
117.525031,190.350000
119.515501,193.450000
121.517476,193.800000
123.531091,198.000000
125.556482,200.250000
127.593787,203.950000
129.643147,205.150000
131.704705,205.900000
133.778608,208.800000
135.865005,210.050000
137.964047,210.400000
140.075888,211.300000
142.200685,211.300000
144.338598,212.100000
146.489790,212.550000
148.654427,215.150000
150.832678,216.150000
153.024716,221.650000
155.230716,222.950000
157.450857,225.100000
159.685322,229.100000
161.934296,230.400000
164.197969,231.850000
166.476536,232.150000
168.770192,232.400000
171.079139,242.500000
173.403583,250.900000
175.743732,251.300000
178.099802,252.700000
180.472008,253.350000
182.860575,260.950000
185.265729,264.750000
187.687703,266.250000
190.126733,276.900000
192.583061,278.250000
195.056934,282.850000
197.548606,289.200000
200.058333,299.750000
202.586379,307.850000
205.133014,308.100000
207.698513,316.500000
210.283158,316.650000
212.887237,316.850000
215.511044,317.550000
218.154879,324.000000
220.819053,326.700000
223.503879,327.400000
226.209680,327.500000
228.936787,330.950000
231.685538,332.950000
234.456280,337.450000
237.249366,340.250000
240.065160,342.900000
242.904035,347.300000
245.766372,349.050000
248.652563,351.200000
251.563007,353.700000
254.498116,355.150000
257.458312,358.550000
260.444027,359.900000
263.455705,363.400000
266.493802,372.800000
269.558785,382.350000
272.651134,382.500000
275.771343,382.700000
278.919918,383.250000
282.097379,388.700000
285.304261,389.150000
288.541115,390.950000
291.808505,395.000000
295.107014,395.650000
298.437240,398.650000
301.799798,402.300000
305.195324,404.400000
308.624469,406.850000
312.087906,407.950000
315.586328,408.700000
319.120448,408.900000
322.691004,414.650000
326.298753,418.150000
329.944480,419.450000
333.628991,421.600000
337.353122,421.800000
341.117733,423.900000
344.923714,424.950000
348.771985,425.700000
352.663496,427.100000
356.599229,429.600000
360.580202,432.600000
364.607466,443.800000
368.682111,444.000000
372.805265,445.550000
376.978096,450.800000
381.201817,454.900000
385.477684,455.900000
389.807001,455.900000
394.191120,456.150000
398.631448,465.500000
403.129444,466.900000
407.686625,468.400000
412.304571,472.050000
416.984924,473.200000
421.729393,474.700000
426.539759,479.450000
431.417880,480.700000
436.365690,480.750000
441.385210,480.850000
446.478549,481.650000
451.647911,483.550000
456.895599,489.600000
462.224024,490.150000
467.635710,496.800000
473.133299,497.450000
478.719562,497.700000
484.397407,499.300000
490.169888,500.550000
496.040212,503.100000
502.011753,520.000000
508.088064,523.750000
514.272885,527.550000
520.570165,529.800000
526.984067,539.000000
533.518993,540.150000
540.179599,548.100000
546.970813,557.450000
553.897860,559.400000
560.966285,562.600000
568.181980,565.800000
575.551211,594.850000
583.080656,595.800000
590.777435,597.200000
598.649156,597.600000
606.703957,600.250000
614.950556,600.450000
623.398312,601.950000
632.057284,602.000000
640.938304,619.150000
650.053062,622.900000
659.414195,623.400000
669.035391,627.050000
678.931517,632.000000
689.118746,632.250000
699.614725,632.850000
710.438757,636.150000
721.612010,637.850000
733.157773,639.300000
745.101743,648.950000
757.472373,654.350000
770.301277,656.050000
783.623721,657.300000
797.479201,658.800000
811.912156,665.200000
826.972826,668.800000
842.718301,671.450000
859.213839,673.700000
876.534489,678.800000
894.767162,682.000000
914.013270,690.000000
934.392137,690.300000
956.045488,692.000000
979.143433,695.650000
1003.892589,695.800000
1030.547339,696.700000
1059.425793,699.600000
1090.933033,708.950000
1125.596020,709.850000
1164.117997,713.900000
1207.467103,714.800000
1257.028766,715.750000
1314.886414,716.950000
1384.386866,721.000000
1471.427310,735.950000
1587.961379,738.300000
1764.881143,739.650000
2145.375420,749.000000
