theoretical_exp_quantile,observed_shifted_waiting
1.124186,0.000000
3.382910,5.300000
5.655576,5.300000
7.942358,9.700000
10.243432,14.000000
12.558979,24.000000
14.889181,42.050000
17.234226,42.650000
19.594303,45.400000
21.969606,56.550000
24.360333,58.650000
26.766687,59.450000
29.188871,61.800000
31.627097,73.650000
34.081578,76.500000
36.552531,78.650000
39.040181,83.100000
41.544753,88.000000
44.066481,92.900000
46.605599,96.650000
49.162351,99.400000
51.736982,113.750000
54.329744,116.300000
56.940895,117.250000
59.570697,117.700000
62.219419,120.400000
64.887334,121.950000
67.574724,122.100000
70.281874,124.350000
73.009077,124.700000
75.756632,132.250000
78.524846,138.700000
81.314032,142.450000
84.124509,150.300000
86.956606,150.500000
89.810657,161.850000
92.687005,165.200000
95.586002,167.700000
98.508007,169.750000
101.453389,171.900000
104.422524,179.000000
107.415798,179.100000
110.433608,182.200000
113.476359,183.850000
116.544466,186.850000
119.638356,188.600000
122.758465,190.400000
125.905243,209.100000
129.079148,209.300000
132.280653,212.450000
135.510242,212.550000
138.768411,213.550000
142.055671,220.900000
145.372547,223.200000
148.719577,228.900000
152.097314,239.950000
155.506326,241.400000
158.947199,247.850000
162.420534,258.350000
165.926948,260.900000
169.467079,261.150000
173.041580,261.950000
176.651126,264.400000
180.296411,281.000000
183.978149,283.850000
187.697076,287.150000
191.453953,296.750000
195.249561,298.900000
199.084708,300.400000
202.960225,301.100000
206.876972,306.550000
210.835835,310.100000
214.837730,310.250000
218.883603,310.300000
222.974431,311.000000
227.111225,314.650000
231.295028,325.500000
235.526922,326.800000
239.808025,327.650000
244.139496,336.600000
248.522532,345.650000
252.958378,345.700000
257.448320,352.050000
261.993696,355.650000
266.595890,355.650000
271.256341,366.200000
275.976543,379.650000
280.758049,381.050000
285.602470,387.850000
290.511486,388.750000
295.486842,392.600000
300.530356,400.950000
305.643920,401.500000
310.829509,402.300000
316.089180,407.250000
321.425082,407.500000
326.839455,408.350000
332.334642,411.150000
337.913093,421.700000
343.577370,443.050000
349.330155,458.500000
355.174257,462.700000
361.112624,462.950000
367.148345,472.900000
373.284666,475.100000
379.524997,478.700000
385.872925,479.350000
392.332227,482.800000
398.906879,492.150000
405.601076,495.750000
412.419248,496.750000
419.366072,498.700000
426.446496,503.900000
433.665761,505.750000
441.029421,512.600000
448.543371,517.150000
456.213872,519.900000
464.047587,521.900000
472.051614,523.200000
480.233522,524.950000
488.601399,532.850000
497.163895,542.100000
505.930279,544.000000
514.910498,578.150000
524.115246,585.300000
533.556038,592.300000
543.245301,596.200000
553.196467,599.450000
563.424090,600.400000
573.943969,607.250000
584.773301,618.050000
595.930843,620.350000
607.437115,624.000000
619.314620,632.900000
631.588115,634.650000
644.284915,635.250000
657.435268,639.050000
671.072780,643.450000
685.234939,648.650000
699.963732,650.900000
715.306399,655.150000
731.316345,659.050000
748.054260,662.850000
765.589514,663.500000
784.001887,666.100000
803.383769,668.050000
823.842962,670.250000
845.506312,671.950000
868.524477,672.000000
893.078289,673.250000
919.387388,678.350000
947.722191,679.500000
978.420859,680.250000
1011.914005,685.400000
1048.761806,689.850000
1089.711829,694.350000
1135.793235,714.250000
1188.478777,716.500000
1249.983202,725.950000
1323.864279,727.150000
1416.390896,732.400000
1540.270125,732.600000
1728.341169,733.550000
2132.818059,735.000000
