topology,J,mu,seed_idx,collapsed,collapse_type,collapse_step,final_m_avg,final_W,final_m_std,intra_corr,inter_corr
modular,0.5,40,7,1,fragmentation,412,-0.7743722675077376,0.0,1.1102230246251565e-16,,
modular,0.5,40,8,1,mixed,396,-0.5072621202305514,0.0,1.1102230246251565e-16,,
modular,0.5,40,9,1,mixed,408,0.5689020039174381,0.07353040676952366,1.1102230246251565e-16,,
modular,0.5,40,10,1,fragmentation,382,-0.009123544730943857,0.0,2.4554764165325007e-17,,
modular,0.5,40,11,1,mixed,422,0.7277609087933896,4.008980715109125,0.0,,
modular,0.5,40,12,1,mixed,360,-0.040883895013890725,0.0,2.6258006780611328e-17,,
modular,0.5,40,13,1,fragmentation,487,-0.5867227331144033,0.0,1.1102230246251565e-16,,
modular,0.5,40,14,1,fragmentation,622,-0.12163266540155204,0.0,8.063460480619539e-17,,
modular,0.5,40,15,1,fragmentation,439,0.6793397405663103,7.880623079724303,1.1511037319626837e-16,,
modular,0.5,40,16,1,fragmentation,319,0.17649550709509348,0.0,4.526797389797802e-17,,
modular,0.5,40,17,1,mixed,361,0.250759256787908,0.0,3.9836745275876674e-17,,
modular,0.5,40,18,1,mixed,332,-0.10750530385341384,0.0,1.9626155733547188e-18,,
modular,0.5,40,19,1,mixed,656,0.10576334276477692,0.0,3.35945672305943e-17,,
modular,0.5,40,20,1,mixed,687,0.19863311002601516,0.0,5.4176722263774386e-17,,
modular,0.5,40,21,1,fragmentation,299,0.4024413308665683,0.029332958519350846,1.4098083921610154e-16,,
modular,0.5,40,22,1,fragmentation,492,-0.05873799153148693,0.0,2.7755575615628914e-17,,
modular,0.5,40,23,1,fragmentation,359,0.4371526831242282,2.4434252454442706,5.978733960281817e-17,,
modular,0.5,40,24,1,mixed,607,0.42650133466495527,7.752669387179768,1.3311106448512297e-16,,
modular,0.5,40,25,1,mixed,414,0.6897830928779097,0.21996806117747383,1.1102230246251565e-16,,
modular,0.5,40,26,1,fragmentation,391,0.07604590795046079,0.0,6.609091551696232e-17,,
modular,0.5,40,27,1,mixed,522,-0.4358099148128052,0.0,1.4623790925227244e-16,,
modular,0.5,40,28,1,mixed,302,-0.3806311766215182,0.0,5.715222817774257e-17,,
modular,0.5,40,29,1,mixed,509,0.5479135462230121,0.1378185790556803,0.0,,
modular,0.5,40,30,1,mixed,398,-0.17856358674741743,0.0,3.850929832103114e-17,,
modular,0.5,40,31,1,fragmentation,296,0.12329617749752306,0.0,1.642041997679149e-17,,
modular,0.5,40,32,1,mixed,428,-0.040896135081001435,0.0,2.0816681711721685e-17,,
modular,0.5,40,33,1,mixed,386,0.08447042141547442,0.07571651166744942,1.3877787807814457e-17,,
modular,0.5,40,34,1,fragmentation,338,0.34174963805096475,0.0,2.2548736224414668e-17,,
modular,0.5,40,35,1,mixed,467,-0.090136218849993,0.0,1.3877787807814457e-17,,
modular,0.5,40,36,1,mixed,320,0.37312756282678905,0.0,5.410557748946589e-17,,
modular,0.5,40,37,1,fragmentation,398,-0.17684660364599744,0.0,0.0,,
modular,0.5,40,38,1,mixed,419,-0.0506607776850318,0.0,1.798766884999431e-17,,
modular,0.5,40,39,1,mixed,616,0.17826017284200213,0.0,5.952907774921861e-17,,
modular,0.5,40,40,1,fragmentation,378,0.20830772530882588,0.0,2.7755575615628914e-17,,
modular,0.5,40,41,1,mixed,447,-0.1354667684335519,0.0,2.7755575615628914e-17,,
modular,0.5,40,42,1,fragmentation,452,0.7691808876742965,6.745289399688845,0.0,,
modular,0.5,40,43,1,mixed,579,0.5498489924490769,0.41502262732976347,1.0648885158809839e-16,,
modular,0.5,40,44,1,mixed,372,-0.0650948615183954,0.0,1.6034701355987145e-17,,
modular,0.5,40,45,1,mixed,471,0.12044872553331132,0.0,1.3808224523606804e-17,,
modular,0.5,40,46,1,fragmentation,411,-0.29958427863640213,0.0,5.551115123125783e-17,,
modular,0.5,40,47,1,fragmentation,468,-0.6339622449193508,0.0,8.741904837807692e-17,,
modular,0.5,40,48,1,fragmentation,453,0.2634043795381494,0.0,6.753223014464259e-17,,
modular,0.5,40,49,1,fragmentation,458,0.7972595607389519,0.8688790076075634,1.1102230246251565e-16,,
modular,0.5,60,0,0,none,-1,0.9999990000000003,1458.9605632396833,3.3306690738754696e-16,1.0000000000000242,1.0000000000000249
modular,0.5,60,1,0,none,-1,0.9985522099758748,1467.2841097113012,2.220446049250313e-16,0.9999999999999684,0.9999999999999684
modular,0.5,60,2,0,none,-1,0.9997343146408645,1463.200216595822,0.0,0.9999999999999005,0.9999999999999004
modular,0.5,60,3,0,none,-1,0.8375656024501285,1404.156910277224,1.1102230246251565e-16,,
modular,0.5,60,4,0,none,-1,0.9999990000000003,1453.2009518281536,3.3306690738754696e-16,,
modular,0.5,60,5,0,none,-1,0.9999990000000003,1464.8309707438145,3.3306690738754696e-16,,
modular,0.5,60,6,0,none,-1,0.9974536671031623,1474.153961420032,2.220446049250313e-16,,
modular,0.5,60,7,0,none,-1,0.936079237825186,1480.3959580296312,1.1102230246251565e-16,,
modular,0.5,60,8,0,none,-1,0.9961801924468093,1461.088863446394,1.1102230246251565e-16,,
modular,0.5,60,9,0,none,-1,0.9998583353864293,1473.3573208705316,2.220446049250313e-16,,
modular,0.5,60,10,0,none,-1,0.9999978519952444,1484.1991473907467,0.0,,
modular,0.5,60,11,0,none,-1,0.999620569235587,1449.3328042837045,1.1102230246251565e-16,,
modular,0.5,60,12,0,none,-1,0.9999990000000003,1475.4822006095656,3.3306690738754696e-16,,
modular,0.5,60,13,0,none,-1,0.9759595382570118,1475.2434527713742,3.3306690738754696e-16,,
modular,0.5,60,14,0,none,-1,0.9997733993963158,1481.4099136828936,3.3306690738754696e-16,,
modular,0.5,60,15,0,none,-1,0.9982664040250104,1472.2515402714528,1.1102230246251565e-16,,
modular,0.5,60,16,0,none,-1,0.912596105473988,1445.0002521372385,1.1102230246251565e-16,,
modular,0.5,60,17,0,none,-1,0.9998137702586258,1477.1360914646116,1.1102230246251565e-16,,
modular,0.5,60,18,0,none,-1,0.999628663283749,1467.3390058989014,1.1102230246251565e-16,,
modular,0.5,60,19,0,none,-1,0.9999990000000003,1479.2716305954775,3.3306690738754696e-16,,
modular,0.5,60,20,0,none,-1,0.9999844913023282,1442.9758881680007,0.0,,
modular,0.5,60,21,0,none,-1,0.9996951739403153,1470.4620163355562,1.1102230246251565e-16,,
modular,0.5,60,22,0,none,-1,0.9999199997930214,1449.3894604122183,1.1102230246251565e-16,,
modular,0.5,60,23,0,none,-1,0.9999990000000003,1480.969414593749,3.3306690738754696e-16,,
modular,0.5,60,24,0,none,-1,0.9999990000000003,1457.4342204501136,3.3306690738754696e-16,,
modular,0.5,60,25,0,none,-1,0.9887388388885155,1455.2699738182346,1.1102230246251565e-16,,
modular,0.5,60,26,0,none,-1,0.9999990000000003,1478.6603367701318,3.3306690738754696e-16,,
modular,0.5,60,27,0,none,-1,0.9999990000000003,1460.0197478678738,3.3306690738754696e-16,,
modular,0.5,60,28,0,none,-1,0.9999990000000003,1455.81422926307,3.3306690738754696e-16,,
modular,0.5,60,29,0,none,-1,0.9997256815436694,1477.7417898779202,0.0,,
modular,0.5,60,30,0,none,-1,0.9999990000000003,1467.119186439366,3.3306690738754696e-16,,
modular,0.5,60,31,0,none,-1,0.7698544683352346,1466.9141240552667,1.1102230246251565e-16,,
modular,0.5,60,32,0,none,-1,0.9682138750711229,1476.203750737877,0.0,,
modular,0.5,60,33,0,none,-1,0.9996247432346391,1475.7877254346186,2.220446049250313e-16,,
modular,0.5,60,34,0,none,-1,0.9993467405339428,1478.4031182519066,0.0,,
modular,0.5,60,35,0,none,-1,0.9999990000000003,1480.788990014512,3.3306690738754696e-16,,
modular,0.5,60,36,0,none,-1,0.9998562094875629,1461.2249587111094,1.1102230246251565e-16,,
modular,0.5,60,37,0,none,-1,0.9439634210021788,1459.8201262207208,1.1102230246251565e-16,,
modular,0.5,60,38,0,none,-1,0.9503038759238288,1461.3434463852213,1.1102230246251565e-16,,
modular,0.5,60,39,0,none,-1,0.9871499485309551,1467.946897571638,3.3306690738754696e-16,,
modular,0.5,60,40,0,none,-1,0.9997537879805466,1435.7103619516784,0.0,,
modular,0.5,60,41,0,none,-1,0.989293858101581,1462.4864857553005,2.220446049250313e-16,,
modular,0.5,60,42,0,none,-1,0.40164494152778446,1465.537197677419,0.0,,
modular,0.5,60,43,0,none,-1,0.9933864519539917,1455.3269600619346,0.0,,
modular,0.5,60,44,0,none,-1,0.9997853224476845,1483.5499845522559,0.0,,
modular,0.5,60,45,0,none,-1,0.9744701018751789,1466.7275366505028,0.0,,
modular,0.5,60,46,0,none,-1,0.9995747693580701,1472.2259994858691,1.1102230246251565e-16,,
modular,0.5,60,47,0,none,-1,0.999726019274433,1469.1189431189346,1.1102230246251565e-16,,
modular,0.5,60,48,0,none,-1,0.9999990000000003,1447.9062064101138,3.3306690738754696e-16,,
modular,0.5,60,49,0,none,-1,0.9999846613037177,1475.1262575253381,1.1102230246251565e-16,,
modular,0.5,80,0,0,none,-1,0.9913821261738838,2464.7105098431543,1.1102230246251565e-16,1.0000000000000189,1.0000000000000184
modular,0.5,80,1,0,none,-1,0.9999397123097773,2476.2852437851598,1.1102230246251565e-16,0.9999999999999848,0.9999999999999847
modular,0.5,80,2,0,none,-1,0.9999185571124164,2471.597298790952,3.3306690738754696e-16,0.9999999999999982,0.9999999999999983
modular,0.5,80,3,0,none,-1,0.9727002821079492,2481.418003681828,1.1102230246251565e-16,,
modular,0.5,80,4,0,none,-1,0.9999990000000003,2484.951241601005,3.3306690738754696e-16,,
modular,0.5,80,5,0,none,-1,0.9942018538189807,2475.1654131419464,3.3306690738754696e-16,,
modular,0.5,80,6,0,none,-1,0.9997991829449103,2466.5668363963373,2.220446049250313e-16,,
modular,0.5,80,7,0,none,-1,0.9990941778462527,2466.744116534804,1.1102230246251565e-16,,
modular,0.5,80,8,0,none,-1,0.9999990000000003,2470.5590210752625,3.3306690738754696e-16,,
modular,0.5,80,9,0,none,-1,0.9999990000000003,2460.9333590399992,3.3306690738754696e-16,,
modular,0.5,80,10,0,none,-1,0.9999990000000003,2477.547047650946,3.3306690738754696e-16,,
modular,0.5,80,11,0,none,-1,0.9999943562345897,2479.5340258868237,2.220446049250313e-16,,
modular,0.5,80,12,0,none,-1,0.9928119393173667,2468.923414739337,0.0,,
modular,0.5,80,13,0,none,-1,0.9999990000000003,2482.8356390636736,3.3306690738754696e-16,,
modular,0.5,80,14,0,none,-1,0.9999990000000003,2473.97518084665,3.3306690738754696e-16,,
modular,0.5,80,15,0,none,-1,0.999016175714114,2478.4003220819172,1.1102230246251565e-16,,
modular,0.5,80,16,0,none,-1,0.9999130014497891,2458.2805893782515,0.0,,
modular,0.5,80,17,0,none,-1,0.993777999925659,2449.517621516522,3.3306690738754696e-16,,
modular,0.5,80,18,0,none,-1,0.9999990000000003,2475.961212612061,3.3306690738754696e-16,,
modular,0.5,80,19,0,none,-1,0.9997621094953698,2474.3512597217928,1.1102230246251565e-16,,
modular,0.5,80,20,0,none,-1,0.9999990000000003,2475.8323250461385,3.3306690738754696e-16,,
modular,0.5,80,21,0,none,-1,0.9999990000000003,2390.1477748635134,3.3306690738754696e-16,,
modular,0.5,80,22,0,none,-1,0.9733534765073385,2471.360009633037,3.3306690738754696e-16,,
modular,0.5,80,23,0,none,-1,0.9980606395946695,2484.1720810000356,1.1102230246251565e-16,,
modular,0.5,80,24,0,none,-1,0.9999876787514874,2461.044035711,1.1102230246251565e-16,,
modular,0.5,80,25,0,none,-1,0.9999212384741003,2442.0315458186587,1.1102230246251565e-16,,
