b,alpha,J,mu,p_stress,h_bar_full,in_band,n
2.0,0.05,5.0,100.0,0.281,11.748247062374189,True,2000
2.0,0.1,5.0,100.0,0.2635,12.05217451403178,True,2000
2.0,0.15,5.0,100.0,0.2415,12.36677874491736,True,2000
2.0,0.2,5.0,100.0,0.223,12.602427805086128,True,2000
2.0,0.3,5.0,100.0,0.1735,12.903885914789143,True,2000
2.0,0.5,5.0,100.0,0.049,13.116957116392005,False,2000
