J,arm,alpha,p_collapse,lam_at_hwin,in_domain,p_collapse_se,p_collapse_ci_lo,p_collapse_ci_hi,full_mean,full_mean_se,full_mean_ci_lo,full_mean_ci_hi,full_mean_n_defined,win_mean,win_mean_se,win_mean_ci_lo,win_mean_ci_hi,win_mean_n_defined,cond_m_neg,cond_m_neg_se,cond_m_neg_ci_lo,cond_m_neg_ci_hi,cond_m_neg_n_defined,cond_m_neg_collapsers,cond_m_neg_collapsers_se,cond_m_neg_collapsers_ci_lo,cond_m_neg_collapsers_ci_hi,cond_m_neg_collapsers_n_defined,amp_over_lam,amp_over_lam_se,amp_over_lam_ci_lo,amp_over_lam_ci_hi,amp_over_lam_n_defined
4.0,passive,0.0,0.257,0.9061402082773837,True,0.009788389872580164,0.2385,0.2765,12.457583254179266,0.0378510839557526,12.382039839704834,12.530465714155769,2000,0.44024137974995525,0.0005754778321664361,0.43911009741313395,0.44136833810531817,2000,0.4151570527046796,0.000534546585613841,0.4140993966455263,0.4161900327301503,1504,0.40964267026533424,0.000797071794427888,0.40807039715941135,0.41117505290636547,501,0.48584245101194146,0.0007624886968267185,0.48434457349983273,0.4873366986701815,2000
4.0,stress_a2.0,2.0,0.0,0.7107504291990028,True,0.0,0.0,0.0,13.14987863503341,0.0005938771051908411,13.148700830117141,13.151017033544953,2000,0.8008104971373748,0.010731612389474692,0.7802897195678571,0.82195023302247,2000,1.6327829069665778,0.01831608465317791,1.5977673443295064,1.6688736955150054,1504,,,,,0,1.1267112396117263,0.02620319853067516,1.0777517510363297,1.1794539034547176,2000
4.0,stress_a0.05,0.05,0.2395,0.8968658807444527,True,0.009553197028604963,0.221,0.2585,12.640206980638183,0.02890200007005852,12.58284459695576,12.695007960169958,2000,0.46222513950708743,0.00037100143830105597,0.46149107447268667,0.4629519095644757,2000,0.47308301170213196,0.0007129060920034828,0.47169244910711483,0.47447815870474175,1504,0.4882038199730314,0.0009161614939861734,0.4863955162704428,0.4899739864963042,468,0.5153782181159715,0.0005054962538166128,0.5143785160257203,0.5163689247011513,2000
4.0,coupling,1.0,0.0015,-0.3264315323632353,False,0.0008539997491552065,0.0,0.0035,65.77371131634969,0.009378574527839991,65.75263313794211,65.7873510953984,2000,2.2798010969839373,0.002250627791801029,2.27535866944114,2.2842036837974504,2000,2.0939717066081704,0.002816360574996069,2.0884633258834477,2.0995168094695207,1183,1.9495066586534748,0.055078873127135136,1.8888581704230567,2.1080993280037843,3,,,,,0
4.0,quadratic,1.0,0.162,0.7567171423673833,True,0.00822049339934489,0.146,0.1785,20.888462352861005,0.04807670703571162,20.791727217346057,20.979635657146613,2000,0.7280884523954149,0.0009168823185525235,0.7262882947811772,0.7298782017882732,2000,0.6822962375124418,0.0009039793861137736,0.6805039539352934,0.6840445791431037,1420,0.6706137307484956,0.0015857086355791509,0.6674564435207802,0.6736737883492456,321,0.9621672506553719,0.00192588146522938,0.958392599804386,0.9659332828846885,2000
4.0,coupling_a0.7,0.7,0.0155,0.029235560424084817,True,0.0027344441292463076,0.0105,0.021,49.83093200921327,0.0423532376027868,49.74096153989378,49.90646290264909,2000,1.7216938696582087,0.0018381007800218918,1.718053299881345,1.7252887776006116,2000,1.5889938771132082,0.002172452102225394,1.5847107083335306,1.593160837207965,1246,1.5283380364428016,0.010412676035814913,1.5084999756240307,1.5495726829002965,31,58.89040075454973,2.7331927916805614,53.946037830337126,64.71618679017548,2000
4.5,passive,0.0,0.288,1.1447160886930607,True,0.01008867164531865,0.2685,0.3085,11.940779936223137,0.05960670790042727,11.821389127694783,12.055714856680648,2000,0.4395771716904943,0.0005638736273390744,0.4384465300243458,0.44065615863964797,2000,0.4142650504515561,0.0005054403649126253,0.41327968836638396,0.4152637023415358,1549,0.4107787069535576,0.0007269012951739171,0.4093706805826911,0.41218520717456847,564,0.3840054106275086,0.0005803321113881932,0.38284247166050833,0.3851165823882098,2000
4.5,stress_a2.0,2.0,0.0,0.9053524790393763,True,0.0,0.0,0.0,13.151560144406425,0.000609008906043231,13.150358835027554,13.15272743456539,2000,0.8268523268150653,0.011566831946432148,0.8048269472013735,0.8501315439475887,2000,1.7522091973717087,0.020161178576288446,1.7129972661310267,1.7918765607930425,1549,,,,,0,0.913293270806964,0.021514629525806583,0.8732456081192687,0.9575108659074456,2000
4.5,stress_a0.05,0.05,0.274,1.132605954678354,True,0.009942906356603257,0.255,0.294,12.252179353243633,0.046398815515329685,12.15875907998471,12.34100144427311,2000,0.46504109889027895,0.0004441285247136569,0.4641715362302631,0.46592788513562955,2000,0.48021983900603626,0.0008612823695557384,0.4785342403507105,0.4819294583602337,1549,0.4959239431650323,0.001056933908280403,0.4938592821045868,0.4979733708025788,536,0.41059390246835215,0.0004705654984344258,0.4096730563846457,0.41153395158943584,2000
4.5,coupling,1.0,0.006,-0.3744909416030361,False,0.001736163737656214,0.003,0.0095,72.19314273338954,0.06046914508795092,72.06419036155985,72.29952383355912,2000,2.5101703548620358,0.0023221989569307566,2.505562597522274,2.514618983004286,2000,2.3032654292322103,0.003004090196834232,2.2973134249126486,2.3091335419467014,1190,2.231870839526867,0.028184811607334794,2.17642660041833,2.2882088875714697,12,,,,,0
