J,arm,alpha,p_collapse,full_mean,win_mean,cond_m_neg,cond_m_neg_collapsers,lam_at_hwin,amp_over_lam,in_domain
4.0,passive,0.0,0.257,12.457583254179287,0.4402413797499552,0.4151570527046796,0.40964267026533424,0.9061402082773846,0.48584245101194096,True
4.0,stress_a2.0,2.0,0.0,13.149878635033408,0.8008104971373746,1.6327829069665778,,0.7107504291990028,1.1267112396117258,True
4.0,stress_a0.05,0.05,0.2395,12.640206980638208,0.4622251395070873,0.47308301170213196,0.4882038199730314,0.8968658807444527,0.5153782181159714,True
4.0,coupling,1.0,0.0015,65.77371131634978,2.2798010969839377,2.0939717066081704,1.9495066586534748,-0.32643153236323563,,False
4.0,quadratic,1.0,0.162,20.888462352861115,0.728088452395415,0.6822962375124418,0.6706137307484956,0.7567171423673833,0.9621672506553721,True
4.5,passive,0.0,0.288,11.940779936223185,0.43957717169049426,0.4142650504515561,0.4107787069535576,1.1447160886930607,0.38400541062750854,True
4.5,stress_a2.0,2.0,0.0,13.151560144406456,0.8268523268150653,1.7522091973717087,,0.9053524790393763,0.913293270806964,True
4.5,stress_a0.05,0.05,0.274,12.2521793532436,0.46504109889027884,0.48021983900603626,0.4959239431650323,1.132605954678354,0.41059390246835203,True
4.5,coupling,1.0,0.006,72.19314273338934,2.510170354862035,2.3032654292322103,2.231870839526867,-0.37449094160303564,,False
4.5,quadratic,1.0,0.163,22.606790890554475,0.8041086306641865,0.7512454498861165,0.7420813479282002,0.9221773239024336,0.871967472873212,True
5.0,passive,0.0,0.2995,11.52370294719971,0.44011911678364957,0.41480330280351607,0.41101174657770834,1.3827383607194292,0.31829529669999074,True
5.0,stress_a2.0,2.0,0.0,13.152089471100775,0.8452001934298397,1.858023395240078,,1.101760837023574,0.7671358111740135,True
5.0,stress_a0.05,0.05,0.2865,11.84185580353876,0.46869103779756605,0.48863117798117506,0.506163271244663,1.367579984967222,0.342715631224158,True
5.0,coupling,1.0,0.005,78.84205177048645,2.7450703219818506,2.5106421523255857,2.4333548767662254,-0.43278349047542863,,False
5.0,quadratic,1.0,0.157,24.630278174479244,0.8915139317153651,0.8320603505494829,0.8189926723616668,1.062343156270916,0.8391958158273423,True
