J,mu,arm,alpha,p_collapse,h_mean_t<=1,h_mean_t<=5,h_mean_t<=14,h_mean_t<=50,h_mean_full
4.0,100.0,passive,0.0,0.257,0.4402413797499552,0.6843858686989115,1.3807317066659714,3.8253230267530234,12.457583254179287
4.0,100.0,stress_a2.0,2.0,0.0,0.8008104971373746,0.9378901278932158,1.8773476279802104,5.126567774199787,13.149878635033408
4.0,100.0,stress_a0.05,0.05,0.2395,0.4622251395070873,0.7285873931139129,1.4464374062694558,3.956458506283059,12.640206980638208
4.0,100.0,coupling,1.0,0.0015,2.2798010969839377,4.40292505746071,9.66967528659566,26.005436751639188,65.77371131634978
4.0,100.0,quadratic,1.0,0.162,0.728088452395415,1.2171719491942214,2.5697313396196684,7.084243638783632,20.888462352861115
4.5,100.0,passive,0.0,0.288,0.43957717169049426,0.6746844459293315,1.3443788593353134,3.682695330385272,11.940779936223185
4.5,100.0,stress_a2.0,2.0,0.0,0.8268523268150653,0.948869579550199,1.8906630674456308,5.139107277117576,13.151560144406456
4.5,100.0,stress_a0.05,0.05,0.274,0.46504109889027884,0.7284691392401926,1.4197308121257897,3.8104410036612086,12.2521793532436
4.5,100.0,coupling,1.0,0.006,2.510170354862035,4.84986681454438,10.62020572212074,28.497697083078837,72.19314273338934
4.5,100.0,quadratic,1.0,0.163,0.8041086306641865,1.3540025511636002,2.8617158567848198,7.828641546476023,22.606790890554475
5.0,100.0,passive,0.0,0.2995,0.44011911678364957,0.6742849199456061,1.3415350270347886,3.6310940104053047,11.52370294719971
5.0,100.0,stress_a2.0,2.0,0.0,0.8452001934298397,0.9611361385410466,1.9091563945334913,5.1546904626844245,13.152089471100775
5.0,100.0,stress_a0.05,0.05,0.2865,0.46869103779756605,0.7363295152840444,1.4245885379814058,3.7628830878612534,11.84185580353876
5.0,100.0,coupling,1.0,0.005,2.7450703219818506,5.320022553629848,11.631912739585998,31.14021862197244,78.84205177048645
5.0,100.0,quadratic,1.0,0.157,0.8915139317153651,1.5208163169419973,3.219321541664293,8.743072954246795,24.630278174479244
