entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Sweden,SWE,2021,0.866,0.968,0.946,0.03200000000000003,0.946,0.868,0.946,0.03400000000000003,-0.0020000000000000018,0.032164000000000026,0.029512000000000024
Sweden,SWE,2022,0.861,0.964,0.946,0.03600000000000003,0.946,0.866,0.946,0.03200000000000003,-0.0050000000000000044,0.030272000000000025,0.027712000000000025
Sweden,SWE,2023,0.849,0.95,0.939,0.050000000000000044,0.939,0.861,0.946,0.03600000000000003,-0.01200000000000001,0.03405600000000003,0.030996000000000027
Sweden,SWE,2024,0.846,0.946,0.939,0.05400000000000005,0.939,0.849,0.939,0.050000000000000044,-0.0030000000000000027,0.04695000000000004,0.042450000000000036
Sweden,SWE,2025,0.853,0.946,0.939,0.05400000000000005,0.939,0.846,0.939,0.05400000000000005,0.007000000000000006,0.05070600000000004,0.04568400000000004
Turkey,TUR,2000,0.425,0.681,0.497,0.31899999999999995,0.497,,,,,,
Turkey,TUR,2001,0.431,0.687,0.548,0.31299999999999994,0.548,0.425,0.497,0.31899999999999995,0.006000000000000005,0.15854299999999996,0.13557499999999997
Turkey,TUR,2002,0.487,0.737,0.63,0.263,0.63,0.431,0.548,0.31299999999999994,0.055999999999999994,0.17152399999999998,0.13490299999999997
Turkey,TUR,2003,0.498,0.74,0.636,0.26,0.636,0.487,0.63,0.263,0.01100000000000001,0.16569,0.128081
Turkey,TUR,2004,0.502,0.749,0.636,0.251,0.636,0.498,0.636,0.26,0.0040000000000000036,0.16536,0.12948
Turkey,TUR,2005,0.484,0.718,0.636,0.28200000000000003,0.636,0.502,0.636,0.251,-0.018000000000000016,0.159636,0.126002
Turkey,TUR,2006,0.483,0.718,0.636,0.28200000000000003,0.636,0.484,0.636,0.28200000000000003,-0.0010000000000000009,0.179352,0.136488
Turkey,TUR,2007,0.461,0.708,0.649,0.29200000000000004,0.649,0.483,0.636,0.28200000000000003,-0.021999999999999964,0.179352,0.13620600000000002
Turkey,TUR,2008,0.411,0.633,0.628,0.367,0.628,0.461,0.649,0.29200000000000004,-0.050000000000000044,0.18950800000000004,0.134612
Turkey,TUR,2009,0.403,0.623,0.649,0.377,0.649,0.411,0.628,0.367,-0.007999999999999952,0.230476,0.150837
Turkey,TUR,2010,0.36,0.547,0.615,0.45299999999999996,0.615,0.403,0.649,0.377,-0.04300000000000004,0.244673,0.151931
Turkey,TUR,2011,0.354,0.536,0.615,0.46399999999999997,0.615,0.36,0.615,0.45299999999999996,-0.006000000000000005,0.278595,0.16307999999999997
Turkey,TUR,2012,0.346,0.527,0.615,0.473,0.615,0.354,0.615,0.46399999999999997,-0.008000000000000007,0.28536,0.16425599999999999
Turkey,TUR,2013,0.289,0.446,0.531,0.554,0.531,0.346,0.615,0.473,-0.056999999999999995,0.29089499999999996,0.16365799999999997
Turkey,TUR,2014,0.252,0.368,0.531,0.632,0.531,0.289,0.531,0.554,-0.03699999999999998,0.29417400000000005,0.160106
Turkey,TUR,2015,0.23,0.352,0.526,0.648,0.526,0.252,0.531,0.632,-0.021999999999999992,0.335592,0.159264
Turkey,TUR,2016,0.143,0.218,0.357,0.782,0.357,0.23,0.526,0.648,-0.08700000000000002,0.34084800000000004,0.14904
Turkey,TUR,2017,0.101,0.18,0.325,0.8200000000000001,0.325,0.143,0.357,0.782,-0.04199999999999998,0.279174,0.111826
Turkey,TUR,2018,0.104,0.198,0.325,0.802,0.325,0.101,0.325,0.8200000000000001,0.002999999999999989,0.2665,0.08282
Turkey,TUR,2019,0.107,0.191,0.398,0.8089999999999999,0.398,0.104,0.325,0.802,0.0030000000000000027,0.26065000000000005,0.083408
Turkey,TUR,2020,0.115,0.19,0.398,0.81,0.398,0.107,0.398,0.8089999999999999,0.008000000000000007,0.321982,0.08656299999999999
Turkey,TUR,2021,0.113,0.189,0.389,0.8109999999999999,0.389,0.115,0.398,0.81,-0.0020000000000000018,0.32238000000000006,0.09315000000000001
Turkey,TUR,2022,0.11,0.18,0.357,0.8200000000000001,0.357,0.113,0.389,0.8109999999999999,-0.0030000000000000027,0.315479,0.091643
Turkey,TUR,2023,0.108,0.177,0.364,0.823,0.364,0.11,0.357,0.8200000000000001,-0.0020000000000000018,0.29274,0.0902
Turkey,TUR,2024,0.109,0.183,0.364,0.817,0.364,0.108,0.364,0.823,0.0010000000000000009,0.29957199999999995,0.08888399999999999
Turkey,TUR,2025,0.11,0.179,0.355,0.821,0.355,0.109,0.364,0.817,0.0010000000000000009,0.297388,0.089053
Venezuela,VEN,2000,0.31,0.685,0.609,0.31499999999999995,0.609,,,,,,
Venezuela,VEN,2001,0.288,0.681,0.609,0.31899999999999995,0.609,0.31,0.609,0.31499999999999995,-0.02200000000000002,0.19183499999999995,0.09764999999999999
Venezuela,VEN,2002,0.255,0.664,0.605,0.33599999999999997,0.605,0.288,0.609,0.31899999999999995,-0.032999999999999974,0.19427099999999997,0.09187199999999998
