J_bin,rho_bin_mid,J_bin_mid,n_windows,P_tail_3pct,SE_3pct,P_tail_5pct,SE_5pct,P_tail_7pct,SE_7pct,P_tail_10pct,SE_10pct,mean_n_tail_days,mean_max_drawdown,mean_worst_daily,model_P_collapse
0,0.3167087846736575,0.4635048959605537,542,0.18265682656826568,0.016596653637069404,0.01107011070110701,0.004494269280498383,0.00922509225092251,0.004106513124789364,0.0036900369003690036,0.002604431551198118,0.15682656826568267,0.022367759440015265,-0.012059064014502786,0.0
1,0.4164178091932685,0.7135546899017281,541,0.6931608133086876,0.01982776578744716,0.3123844731977819,0.019925944878540547,0.19038817005545286,0.016879507463094183,0.07024029574861368,0.01098701944598249,1.0942698706099816,0.046084615578025685,-0.01907124803875806,0.0
2,0.4724423721775326,0.8955275163541336,541,0.7800369685767098,0.01780876522180194,0.32162661737523107,0.020082221764535814,0.19408502772643252,0.01700364371839603,0.02033271719038817,0.0060678995080676095,1.1663585951940851,0.04864727848354484,-0.01900098470980985,0.0
3,0.5323894239104439,1.138531844375671,542,0.7730627306273062,0.017991220959900665,0.3763837638376384,0.020810116142614347,0.2011070110701107,0.01721703123414815,0.023985239852398525,0.006572045815593008,1.4059040590405905,0.049289317952155395,-0.019941776327410284,0.0
4,0.5886707697793488,1.431142565442202,541,0.9205175600739371,0.01162928466699134,0.532347504621072,0.021451645273164344,0.24399260628465805,0.018465144982624675,0.07208872458410351,0.011119576945431057,1.9963031423290203,0.05578749888314235,-0.022143706290866837,0.0
5,0.6298499986485656,1.7016074465728888,541,0.9020332717190388,0.012780620758406594,0.6654343807763401,0.020285916809649956,0.3585951940850277,0.020619099990225806,0.16266173752310537,0.015866989685518508,2.7264325323475047,0.06676974600799197,-0.023450328788361334,0.0
6,0.6664762810120377,1.9982875236207038,542,0.9206642066420664,0.011608753000132392,0.6420664206642066,0.020591669406079323,0.488929889298893,0.021471574474700956,0.28044280442804426,0.019295461384045903,3.1660516605166054,0.07497271280148234,-0.026260169351399663,0.0
7,0.7031665066822148,2.3688920641088704,541,0.9371534195933456,0.010433920912832288,0.7060998151571165,0.019585485694594486,0.3438077634011091,0.020420893998392853,0.17929759704251386,0.016492308672694737,3.5378927911275415,0.07337684019542293,-0.027223456251325908,0.03688920641088705
8,0.7486185567209637,2.9780183730188403,541,0.9279112754158965,0.011119576945431059,0.7874306839186691,0.017589675278919456,0.49168207024029575,0.02149370419123858,0.2846580406654344,0.019400813698941963,4.536044362292052,0.09932671166927624,-0.0339892291116926,0.13604330714339127
9,0.8306108004092436,4.903566762242235,542,0.9981549815498155,0.0018433156178418342,0.9446494464944649,0.009821926458604737,0.8616236162361623,0.014831673011425961,0.6107011070110702,0.020943839194296206,10.459409594095941,0.18472208184398486,-0.058661668647052134,0.26842801146906825
