window_end,rho_bar,DB,max_drawdown_pct,drawdown_corr,tail_5,tail_3,tail_10,J,decile
2020-11-21,0.5613933359981111,1.2767780587167392,-0.11762214113164127,,1,1,1,1.279947119079097,1
2020-11-22,0.5446318879660693,1.2894931786557877,-0.11762214113164127,,1,1,1,1.1960255309346022,1
2020-11-23,0.5279214974128683,1.308943192240439,-0.11762214113164127,,1,1,1,1.1182917555442586,1
2020-11-24,0.5311485707185624,1.3085622730712154,-0.11762214113164127,,1,1,1,1.1328718172675754,1
2020-11-25,0.5508804464803707,1.2948839965939887,-0.11762214113164127,,1,1,1,1.2265786295948788,1
2020-11-26,0.61176071669431,1.243733427381193,-0.17101684615143609,,1,1,1,1.5757311096533853,2
2020-11-27,0.6146019329066608,1.2420190448774289,-0.17101684615143609,,1,1,1,1.5947198114976815,2
2020-11-28,0.6178949415709425,1.2400184027591163,-0.17101684615143609,,1,1,1,1.6170812920176567,2
2020-11-29,0.617168825508584,1.2416920017452273,-0.17101684615143609,,1,1,1,1.6121174727436476,2
2020-11-30,0.6199583882847834,1.2403453351082523,-0.17101684615143609,,1,1,1,1.631290809147889,2
2020-12-01,0.621059307371569,1.2416622565762283,-0.17101684615143609,,1,1,1,1.6389353781557225,2
2020-12-02,0.6231910347311954,1.2399667604854376,-0.17101684615143609,,1,1,1,1.653864669293707,2
2020-12-03,0.6227580556930792,1.2402412328080095,-0.17101684615143609,,1,1,1,1.650818698957846,2
2020-12-04,0.6433137322056593,1.2219062700881653,-0.17101684615143609,,1,1,1,1.8035842427681665,2
2020-12-05,0.6400625255894452,1.2242730076738635,-0.17101684615143609,,1,1,1,1.7782603121212432,2
2020-12-06,0.6399014975232523,1.224840856234449,-0.17101684615143609,,1,1,1,1.777017935709333,2
2020-12-07,0.6453164567089503,1.2205382021379796,-0.17101684615143609,,1,1,1,1.819414711833445,2
2020-12-08,0.6613498297421683,1.2079604083767492,-0.17511161507901718,0.8247427401396337,1,1,1,1.9528997408701987,3
2020-12-09,0.6636465255683839,1.2060508155325758,-0.17511161507901718,0.8247427401396337,1,1,1,1.9730627926167286,3
2020-12-10,0.6658671958144211,1.2041803962484994,-0.17788172794009338,0.8231372139679468,1,1,1,1.9928219781874377,3
2020-12-11,0.6692843167827928,1.2018201825452,-0.19985831672143273,0.8146002784136323,1,1,1,2.023745321878856,3
2020-12-12,0.6676473503530528,1.2050971235862262,-0.19985831672143273,0.8146002784136323,1,1,1,2.008852196792424,3
2020-12-13,0.6696369785865753,1.203849563071115,-0.19985831672143273,0.8146002784136323,1,1,1,2.026973163405521,3
2020-12-14,0.6663393539798073,1.2062404789063443,-0.19985831672143273,0.8146002784136323,1,1,1,1.997057075587755,3
2020-12-15,0.6565277914141174,1.21530122530669,-0.19985831672143273,0.8146002784136323,1,1,1,1.9114437063689178,3
