J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,20,0,1,2,277,0.05102201382982735,0.0,active_quadratic,1.0
0.5,20,1,1,3,284,0.06537995510194941,0.0,active_quadratic,1.0
0.5,20,2,1,2,270,0.4131520107506756,0.0,active_quadratic,1.0
0.5,20,3,1,3,289,0.5105004913729413,0.0,active_quadratic,1.0
0.5,20,4,1,3,312,0.5447109368970806,0.0,active_quadratic,1.0
0.5,20,5,1,3,314,0.5178288010685966,0.0,active_quadratic,1.0
0.5,20,6,1,3,275,-0.6170388726149552,0.0,active_quadratic,1.0
0.5,20,7,1,3,288,0.22834405394182733,0.0,active_quadratic,1.0
0.5,20,8,1,3,274,0.7527811943818996,0.0,active_quadratic,1.0
0.5,20,9,1,3,299,-0.3193601399468454,0.0,active_quadratic,1.0
0.5,20,10,1,3,290,0.5720214288867546,0.0,active_quadratic,1.0
0.5,20,11,1,3,280,0.4915270446532706,0.0,active_quadratic,1.0
0.5,20,12,1,3,293,-0.17619180359114026,0.0,active_quadratic,1.0
0.5,20,13,1,3,275,-0.43821100697355214,0.0,active_quadratic,1.0
0.5,20,14,1,2,281,-0.374304289862876,0.0,active_quadratic,1.0
0.5,20,15,1,2,301,0.3564690860118266,0.0,active_quadratic,1.0
0.5,20,16,1,2,300,-0.13993749432260733,0.0,active_quadratic,1.0
0.5,20,17,1,2,284,-0.007066135298113993,0.0,active_quadratic,1.0
0.5,20,18,1,2,279,0.053358993230087394,0.0,active_quadratic,1.0
0.5,20,19,1,2,306,-0.5206058192605914,0.0,active_quadratic,1.0
0.5,20,20,1,2,293,-0.752667477828721,0.0,active_quadratic,1.0
0.5,20,21,1,2,300,-0.14273808867324558,0.0,active_quadratic,1.0
0.5,20,22,1,3,284,-0.032233667211262404,0.0,active_quadratic,1.0
0.5,20,23,1,3,295,0.12961700134073975,0.0,active_quadratic,1.0
0.5,20,24,1,3,276,0.34819057437849454,0.0,active_quadratic,1.0
0.5,20,25,1,2,296,0.07129992845520347,0.0,active_quadratic,1.0
0.5,20,26,1,2,295,0.37206464424410635,0.0,active_quadratic,1.0
0.5,20,27,1,2,288,-0.3122224158715784,0.0,active_quadratic,1.0
0.5,20,28,1,2,276,-0.7300048723994634,0.0,active_quadratic,1.0
0.5,20,29,1,3,293,0.6694760332025746,0.0,active_quadratic,1.0
0.5,20,30,1,2,286,-0.03961800450849526,0.0,active_quadratic,1.0
0.5,20,31,1,2,281,0.530013141201594,0.0,active_quadratic,1.0
0.5,20,32,1,3,267,-0.548448281581317,0.0,active_quadratic,1.0
0.5,20,33,1,2,285,-0.2276106252958045,0.0,active_quadratic,1.0
0.5,20,34,1,2,276,-0.093840553427023,0.0,active_quadratic,1.0
0.5,20,35,1,2,294,-0.206278391371163,0.0,active_quadratic,1.0
0.5,20,36,1,2,284,0.05437880782343506,0.0,active_quadratic,1.0
0.5,20,37,1,2,280,0.11626111912127021,0.0,active_quadratic,1.0
0.5,20,38,1,3,283,-0.19823628250862102,0.0,active_quadratic,1.0
0.5,20,39,1,3,294,0.16198029631476302,0.0,active_quadratic,1.0
0.5,20,40,1,3,294,-0.32862775237718256,0.0,active_quadratic,1.0
