J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,20,73,1,2,289,0.21221240456740145,0.0,active_coupling,1.0
0.5,20,74,1,2,286,-0.3413990630646808,0.0,active_coupling,1.0
0.5,20,75,1,2,285,0.2792238907918302,0.0,active_coupling,1.0
0.5,20,76,1,2,297,-0.3203469323156106,0.0,active_coupling,1.0
0.5,20,77,1,3,284,0.18350298584542188,0.0,active_coupling,1.0
0.5,20,78,1,3,279,-0.5955644847361224,0.0,active_coupling,1.0
0.5,20,79,1,3,297,-0.058704243397782394,0.0,active_coupling,1.0
0.5,20,80,1,2,288,0.40034610042197183,0.0,active_coupling,1.0
0.5,20,81,1,2,307,0.1834592595512592,0.0,active_coupling,1.0
0.5,20,82,1,2,288,-0.4964320947429022,0.0,active_coupling,1.0
0.5,20,83,1,3,300,0.2774933620978641,0.0,active_coupling,1.0
0.5,20,84,1,3,315,-0.0916272155775344,0.0,active_coupling,1.0
0.5,20,85,1,3,303,-0.5446389811109199,0.0,active_coupling,1.0
0.5,20,86,1,3,287,0.13374247984247623,0.0,active_coupling,1.0
0.5,20,87,1,3,279,0.3136815418917998,0.0,active_coupling,1.0
0.5,20,88,1,2,296,0.08076411867296945,0.0,active_coupling,1.0
0.5,20,89,1,2,273,0.2855767022640929,0.0,active_coupling,1.0
0.5,20,90,1,3,287,0.3016515891311771,0.0,active_coupling,1.0
0.5,20,91,1,3,292,-0.5998792234602561,0.0,active_coupling,1.0
0.5,20,92,1,2,291,0.10112484932287727,0.0,active_coupling,1.0
0.5,20,93,1,2,297,0.5287811445948813,0.0,active_coupling,1.0
0.5,20,94,1,3,292,0.14857294066269877,0.0,active_coupling,1.0
0.5,20,95,1,2,280,0.13574292608276273,0.0,active_coupling,1.0
0.5,20,96,1,2,297,-0.37207218822007837,0.0,active_coupling,1.0
0.5,20,97,1,2,307,-0.025637375085146723,0.0,active_coupling,1.0
0.5,20,98,1,3,269,0.8681943285925009,0.0,active_coupling,1.0
0.5,20,99,1,2,302,-0.5427523867004168,0.0,active_coupling,1.0
0.5,30,0,1,2,360,-0.31168049973410566,0.0,active_coupling,1.0
0.5,30,1,1,2,379,0.22561127251463897,0.0,active_coupling,1.0
0.5,30,2,1,3,321,0.3620379892065989,0.0,active_coupling,1.0
0.5,30,3,1,2,285,0.5429037979491165,0.0,active_coupling,1.0
0.5,30,4,1,3,320,0.13347854498691386,0.0,active_coupling,1.0
0.5,30,5,1,2,408,0.20466931476133762,0.0,active_coupling,1.0
0.5,30,6,1,2,302,0.052564502454541404,0.0,active_coupling,1.0
0.5,30,7,1,3,319,-0.10090056877859724,0.0,active_coupling,1.0
0.5,30,8,1,2,315,-0.09700003644592517,0.0,active_coupling,1.0
0.5,30,9,1,3,372,0.20358529465912387,0.0,active_coupling,1.0
0.5,30,10,1,2,355,0.09638217029325269,0.0,active_coupling,1.0
