J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
3.0,50,active_quadratic,1.0,0.13,0.04,0.01,0.08,13,0.3076923076923077,0.9897551071891796,978.3773221240986
3.0,60,active_quadratic,1.0,0.19,0.14,0.0,0.05,19,0.7368421052631579,0.9895093531501032,1476.8738057908317
3.0,70,active_quadratic,1.0,0.12,0.09,0.01,0.02,12,0.75,0.9956929076156632,1972.6743256778757
3.0,80,active_quadratic,1.0,0.14,0.08,0.0,0.06,14,0.5714285714285714,0.9854362933396679,2469.476066664165
3.0,90,active_quadratic,1.0,0.09,0.02,0.02,0.05,9,0.2222222222222222,0.9862409520194666,2961.3956147332083
3.0,100,active_quadratic,1.0,0.07,0.06,0.0,0.01,7,0.8571428571428571,0.9825465929488449,3460.925982187581
3.5,20,active_quadratic,1.0,1.0,0.69,0.05,0.26,100,0.69,-0.16280124749742084,0.0
3.5,30,active_quadratic,1.0,1.0,0.76,0.01,0.23,100,0.76,-0.013166795788492603,0.0
3.5,40,active_quadratic,1.0,0.27,0.22,0.01,0.04,27,0.8148148148148148,0.99269879847008,475.89100668323726
3.5,50,active_quadratic,1.0,0.15,0.1,0.0,0.05,15,0.6666666666666666,0.9872036061492543,980.2400236064673
3.5,60,active_quadratic,1.0,0.21,0.14,0.0,0.07,21,0.6666666666666666,0.9795688201578795,1477.4503219311903
3.5,70,active_quadratic,1.0,0.21,0.13,0.01,0.07,21,0.6190476190476191,0.9872413251404352,1972.8172947040534
3.5,80,active_quadratic,1.0,0.13,0.08,0.01,0.04,13,0.6153846153846154,0.9697219850652895,2468.3141062079585
3.5,90,active_quadratic,1.0,0.11,0.09,0.0,0.02,11,0.8181818181818182,0.9871519276205603,2965.213961058556
3.5,100,active_quadratic,1.0,0.11,0.1,0.0,0.01,11,0.9090909090909091,0.9905023714286755,3457.5472700286737
4.0,20,active_quadratic,1.0,1.0,0.74,0.01,0.25,100,0.74,-0.08629653895744197,0.0
4.0,30,active_quadratic,1.0,1.0,0.85,0.0,0.15,100,0.85,-0.017219882574337105,0.0
4.0,40,active_quadratic,1.0,0.31,0.26,0.0,0.05,31,0.8387096774193549,0.9746422717034298,479.4013424927292
4.0,50,active_quadratic,1.0,0.17,0.15,0.0,0.02,17,0.8823529411764706,0.9854389810165946,979.529311271345
4.0,60,active_quadratic,1.0,0.14,0.12,0.0,0.02,14,0.8571428571428571,0.9811715316485976,1476.258545334996
4.0,70,active_quadratic,1.0,0.16,0.13,0.0,0.03,16,0.8125,0.9790672071595398,1968.8028542967268
4.0,80,active_quadratic,1.0,0.13,0.12,0.0,0.01,13,0.9230769230769231,0.9666685350026776,2444.8213041189324
4.0,90,active_quadratic,1.0,0.12,0.07,0.0,0.05,12,0.5833333333333334,0.9894197190095211,2965.123361541834
4.0,100,active_quadratic,1.0,0.13,0.11,0.0,0.02,13,0.8461538461538461,0.9877090599934343,3458.9006162974165
4.5,20,active_quadratic,1.0,1.0,0.82,0.01,0.17,100,0.82,-0.06344958550225528,0.0
4.5,30,active_quadratic,1.0,1.0,0.87,0.0,0.13,100,0.87,0.07725284633066855,0.0
4.5,40,active_quadratic,1.0,0.26,0.2,0.0,0.06,26,0.7692307692307693,0.9763547400701853,474.9454341610731
4.5,50,active_quadratic,1.0,0.28,0.27,0.0,0.01,28,0.9642857142857143,0.9458066663397819,959.2561014704992
4.5,60,active_quadratic,1.0,0.18,0.16,0.0,0.02,18,0.8888888888888888,0.9804821196898039,1477.5386082338166
4.5,70,active_quadratic,1.0,0.22,0.2,0.0,0.02,22,0.9090909090909091,0.9610702287242556,1952.6067999424815
4.5,80,active_quadratic,1.0,0.14,0.1,0.0,0.04,14,0.7142857142857143,0.9626971288160633,2445.8116581008844
4.5,90,active_quadratic,1.0,0.15,0.14,0.0,0.01,15,0.9333333333333333,0.9767201354393978,2932.1489970072994
4.5,100,active_quadratic,1.0,0.11,0.11,0.0,0.0,11,1.0,0.9943001231669686,3453.7251631297027
5.0,20,active_quadratic,1.0,1.0,0.84,0.0,0.16,100,0.84,0.1688535581719416,0.0
5.0,30,active_quadratic,1.0,1.0,0.91,0.0,0.09,100,0.91,-0.015357016436651221,0.0
5.0,40,active_quadratic,1.0,0.15,0.13,0.01,0.01,15,0.8666666666666667,0.9456575088463759,474.0961754877277
5.0,50,active_quadratic,1.0,0.29,0.26,0.0,0.03,29,0.896551724137931,0.872967349843291,917.7876885648319
5.0,60,active_quadratic,1.0,0.14,0.12,0.0,0.02,14,0.8571428571428571,0.9162796466116412,1427.9461964016807
5.0,70,active_quadratic,1.0,0.18,0.14,0.0,0.04,18,0.7777777777777778,0.9195061476925787,1908.6484338551911
5.0,80,active_quadratic,1.0,0.22,0.21,0.0,0.01,22,0.9545454545454546,0.8832299582788089,2344.773645161542
5.0,90,active_quadratic,1.0,0.21,0.19,0.0,0.02,21,0.9047619047619048,0.9224771913510614,2876.2612054059473
5.0,100,active_quadratic,1.0,0.17,0.17,0.0,0.0,17,1.0,0.949638235013403,3389.8578227142034
