J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,20,75,1,2,285,0.3598650788618105,0.0,active_stress,2.0
0.5,20,76,1,2,294,-0.25003062833000755,0.0,active_stress,2.0
0.5,20,77,1,3,283,0.19425438932059655,0.0,active_stress,2.0
0.5,20,78,1,3,280,-0.4278963759476994,0.0,active_stress,2.0
0.5,20,79,1,2,294,-0.00740858207841899,0.0,active_stress,2.0
0.5,20,80,1,2,286,0.4005248323919649,0.0,active_stress,2.0
0.5,20,81,1,3,304,0.22537036180074654,0.0,active_stress,2.0
0.5,20,82,1,2,286,-0.3752010571721563,0.0,active_stress,2.0
0.5,20,83,1,3,298,0.2794179004189007,0.0,active_stress,2.0
0.5,20,84,1,2,312,-0.046288527736066,0.0,active_stress,2.0
0.5,20,85,1,3,300,-0.41841417185464025,0.0,active_stress,2.0
0.5,20,86,1,3,289,0.22824152098123585,0.0,active_stress,2.0
0.5,20,87,1,2,279,0.31386224150316006,0.0,active_stress,2.0
0.5,20,88,1,2,296,0.11822060438591844,0.0,active_stress,2.0
0.5,20,89,1,2,275,0.29357441711564936,0.0,active_stress,2.0
0.5,20,90,1,3,287,0.46447002031290396,0.0,active_stress,2.0
0.5,20,91,1,2,291,-0.4728085098489108,0.0,active_stress,2.0
0.5,20,92,1,2,289,0.23111029745720102,0.0,active_stress,2.0
0.5,20,93,1,2,295,0.5402808540725613,0.0,active_stress,2.0
0.5,20,94,1,3,291,0.14971081032231984,0.0,active_stress,2.0
0.5,20,95,1,2,281,0.1814020025630855,0.0,active_stress,2.0
0.5,20,96,1,2,293,-0.2543751809291196,0.0,active_stress,2.0
0.5,20,97,1,2,302,0.11458243445326115,0.0,active_stress,2.0
0.5,20,98,1,2,272,0.8828003279278581,0.0,active_stress,2.0
0.5,20,99,1,2,298,-0.3951781810983898,0.0,active_stress,2.0
0.5,30,0,1,2,356,-0.2045642933818619,0.0,active_stress,2.0
0.5,30,1,1,3,353,0.24069733729934992,0.0,active_stress,2.0
0.5,30,2,1,3,319,0.39317546612168147,0.0,active_stress,2.0
0.5,30,3,1,2,289,0.5520767582631164,0.0,active_stress,2.0
0.5,30,4,1,3,316,0.24361725682233268,0.0,active_stress,2.0
0.5,30,5,1,3,387,0.4120457499624134,0.0,active_stress,2.0
0.5,30,6,1,2,301,0.19886928177376575,0.0,active_stress,2.0
0.5,30,7,1,3,318,-0.002585701242558719,0.0,active_stress,2.0
0.5,30,8,1,2,313,-0.09435152127869938,0.0,active_stress,2.0
0.5,30,9,1,2,352,0.21498123639005193,0.0,active_stress,2.0
0.5,30,10,1,3,351,0.11434698932626156,0.0,active_stress,2.0
0.5,30,11,1,3,289,-0.3641253991257368,0.0,active_stress,2.0
