J,mu,condition,alpha,p_collapse,p_rigidity,p_fragmentation,p_mixed,n_collapsed,rigidity_share_of_collapsed,mean_final_m,mean_final_wealth
3.5,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9792553505827848,1476.8416449608358
3.5,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9871931656196423,1972.701836165901
3.5,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.969713644988617,2468.299478888342
3.5,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9871510304257809,2965.211710290467
3.5,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.990502314893223,3457.54687806633
4.0,20,active_stress,2.0,1.0,0.76,0.03,0.21,100,0.76,0.9306539414425662,0.0
4.0,30,active_stress,2.0,1.0,0.77,0.03,0.2,100,0.77,0.9025167219109598,0.0
4.0,40,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9642494105481976,471.15138695508546
4.0,50,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9838099439075999,977.3909431068364
4.0,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9809178227110454,1475.9496333099898
4.0,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9790338948206745,1969.4914250568095
4.0,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9865681478566154,2469.611173161318
4.0,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9894193013818418,2965.1218979822756
4.0,100,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9877089500455941,3458.927452944583
4.5,20,active_stress,2.0,1.0,0.85,0.02,0.13,100,0.85,0.9481702219238783,0.0
4.5,30,active_stress,2.0,1.0,0.88,0.02,0.1,100,0.88,0.9249064850786207,0.0
4.5,40,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9808082837392672,475.0316572344611
4.5,50,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.984291271035639,977.843449312293
4.5,60,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9802186946491728,1477.2809161353432
4.5,70,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9810454819316667,1972.4062136323764
4.5,80,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9825868799373331,2470.727090055786
4.5,90,active_stress,2.0,0.0,0.0,0.0,0.0,0,0.0,0.9841338720807865,2961.1873901534154
