ramp_steps,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
1000,40,0,1,377,2.1965,1,0.9950500309117801,490.4425861286184
1000,40,1,1,300,1.85,2,0.999999,485.15020714450156
1000,40,2,0,-1,,0,0.999847225854378,486.5857282515369
1000,40,3,1,572,3.074,1,0.999999,482.37720598674946
1000,40,4,0,-1,,0,0.999999,469.20755049129093
1000,40,5,0,-1,,0,0.9071048810723108,486.9690439436454
1000,40,6,0,-1,,0,0.999999,479.6351403399592
1000,40,7,0,-1,,0,0.8533578167255783,480.1701846527908
1000,40,8,1,491,2.7095,3,0.999918539307534,477.2350785927876
1000,40,9,1,426,2.417,2,0.9997555644683843,481.46680266674
1000,40,10,1,381,2.2145,1,0.9984717132627333,485.1761513501732
1000,40,11,1,496,2.732,3,0.999999,482.9422276905937
1000,40,12,0,-1,,0,0.9990607468872967,473.90297070080754
1000,40,13,0,-1,,0,0.999999,468.06343197715216
1000,40,14,0,-1,,0,0.9976362273582376,472.13891743230414
1000,40,15,0,-1,,0,0.999999,480.0704472691302
1000,40,16,0,-1,,0,0.9998986265470533,469.10199615637055
1000,40,17,1,335,2.0075000000000003,3,0.9784263965940829,490.2753300880237
1000,40,18,1,439,2.4755000000000003,1,0.99288532093043,488.2761717078182
1000,40,19,0,-1,,0,0.9997651201995856,470.1919292306375
1000,40,20,1,445,2.5025,3,0.999999,485.77226223182777
1000,40,21,1,731,3.7895,1,0.8414262026486631,464.7297761498763
1000,40,22,0,-1,,0,0.9999333121681405,491.4904921566466
1000,40,23,0,-1,,0,0.9514640944649337,473.1895255345526
1000,40,24,0,-1,,0,0.999770533789225,488.93253703880106
1000,40,25,0,-1,,0,0.7586320467995018,481.74763212545236
1000,40,26,1,414,2.363,3,0.9535275896750202,478.39323743100374
1000,40,27,0,-1,,0,0.9964107192391126,483.9398870880227
1000,40,28,1,538,2.921,1,0.997533840654287,483.9365982647565
1000,40,29,1,465,2.5925,3,0.9988784054112606,480.4442114277784
