level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,40,92,1,375,2,-0.3217501701397364,0.0,0.21619917892594767,25
L3,0.5,40,93,1,364,2,-0.12747078427809516,0.0,0.5422992794211355,19
L3,0.5,40,94,1,364,3,-0.757699963965122,0.0,0.07918644083998157,27
L3,0.5,40,95,1,375,3,-0.4462117147013829,0.0,0.8103258304440434,23
L3,0.5,40,96,1,386,3,0.036746525918915494,0.0,0.5145070760461249,25
L3,0.5,40,97,1,349,3,-0.25497086362269755,0.0,0.2515834224577669,34
L3,0.5,40,98,1,310,2,0.1630499631080033,0.0,0.23741614015447116,23
L3,0.5,40,99,1,348,3,0.24001790304234819,0.0,0.11501780878964837,25
L3,0.5,50,0,1,446,2,-0.44042733398679784,0.0,0.8240069002154123,1
L3,0.5,50,1,1,395,3,-0.449208833999637,0.0,0.11951008600521729,1
L3,0.5,50,2,1,413,2,0.27351872678568034,0.0,0.19991797404453238,6
L3,0.5,50,3,1,671,3,0.06694750785606637,0.0,0.2276372367275138,14
L3,0.5,50,4,1,426,2,0.48791906416828235,0.2783850438098087,0.11527944805473764,8
L3,0.5,50,5,1,375,2,0.18272144158825718,0.0,0.4570127946250508,1
L3,0.5,50,6,1,600,2,0.03709329424157706,0.0,0.3163624650393061,1
L3,0.5,50,7,1,487,2,-0.530156109343791,0.0,0.0757256632448708,1
L3,0.5,50,8,1,514,2,0.295198176791799,0.0,0.22961232737216067,1
L3,0.5,50,9,1,506,3,-0.5150517605576894,0.0,0.08155837349832054,3
L3,0.5,50,10,1,517,3,-0.10764044449857775,0.0,0.23369408973635752,1
L3,0.5,50,11,1,458,2,0.20107347852482552,0.0,0.1421904009377282,1
L3,0.5,50,12,1,487,2,0.48319326411705604,0.16374165500052948,0.3481480254269338,1
L3,0.5,50,13,1,619,2,-0.9017003756194154,0.0,0.05937826674472086,1
L3,0.5,50,14,1,474,3,-0.26311950016038765,0.0,0.1417473442746774,1
L3,0.5,50,15,1,556,3,0.5612276400428385,9.024577491383702,0.0913711487686226,1
L3,0.5,50,16,1,466,3,0.09106063276160864,0.0,0.2588296816684099,1
L3,0.5,50,17,1,794,3,0.7003973662632961,4.954315775176138,0.07746970690406954,5
L3,0.5,50,18,1,440,3,-0.27925364939464625,0.0,0.5310344950496241,7
L3,0.5,50,19,1,596,3,0.13724335132531207,4.957257085201576,0.08502588837074582,1
L3,0.5,50,20,1,415,2,-0.3181788248032166,0.0,0.13461864417905006,1
L3,0.5,50,21,1,568,3,0.015932424613942148,0.0,0.2563387009530158,1
L3,0.5,50,22,1,499,3,-0.4071317725900855,0.0,0.09806779809216204,1
L3,0.5,50,23,1,619,3,-0.4265038671590574,0.0,0.10217739421488208,1
L3,0.5,50,24,1,524,2,0.041810108086834205,0.0,0.1770174534200884,1
L3,0.5,50,25,1,451,3,0.2108460932070343,3.3872926642431302,0.10295298990646923,1
L3,0.5,50,26,1,467,2,0.6176209676248529,2.9998620936811684,0.13285690623188873,5
L3,0.5,50,27,1,634,3,-0.14389233865319842,0.0,0.25535591641343564,1
