schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,65,36,0,-1,,0,0.9999758410875907,1732.0547126861547
linear,65,37,0,-1,,0,0.999999,1737.3713359377537
linear,65,38,0,-1,,0,0.947148650679979,1736.676008171079
linear,65,39,0,-1,,0,0.9995949522019301,1725.791223258604
linear,65,40,0,-1,,0,0.999999,1736.8428855075406
linear,65,41,0,-1,,0,0.9999119716420827,1733.4263832258807
linear,65,42,0,-1,,0,0.9999928657397161,1740.13713379556
linear,65,43,0,-1,,0,0.999999,1724.9262173577345
linear,65,44,0,-1,,0,0.999999,1730.5826888163215
linear,65,45,0,-1,,0,0.999999,1714.4931005466112
linear,65,46,0,-1,,0,0.999999,1730.406524439325
linear,65,47,0,-1,,0,0.988822122896736,1730.1438488422439
linear,65,48,0,-1,,0,0.999433119209713,1737.464500203889
linear,65,49,0,-1,,0,0.9998366273432571,1730.4641127257314
linear,65,50,0,-1,,0,0.999999,1707.1955311002732
linear,65,51,0,-1,,0,0.999999,1720.6801174077357
linear,65,52,0,-1,,0,0.9993310686089985,1739.8058834774067
linear,65,53,0,-1,,0,0.999999,1713.5814393487237
linear,65,54,0,-1,,0,0.999999,1722.6074467437106
linear,65,55,0,-1,,0,0.999999,1731.8074671983682
linear,65,56,0,-1,,0,0.999999,1736.6184017967396
linear,65,57,0,-1,,0,0.9995810985565594,1725.8054355545778
linear,65,58,0,-1,,0,0.999999,1728.0194608931217
linear,65,59,0,-1,,0,0.999999,1729.2757570311758
linear,65,60,0,-1,,0,0.999999,1725.7979305924237
linear,65,61,0,-1,,0,0.9999505437572312,1726.8451068117938
linear,65,62,0,-1,,0,0.999999,1721.0995306118741
linear,65,63,0,-1,,0,0.9998939818554782,1733.6651936681733
linear,65,64,0,-1,,0,0.9978484200636187,1722.9205000670154
linear,65,65,0,-1,,0,0.9998736321404228,1736.7092270467415
linear,65,66,0,-1,,0,0.999999,1732.8303156063398
linear,65,67,0,-1,,0,0.9998780973119245,1728.8756440138811
linear,65,68,0,-1,,0,0.9999164720806132,1705.9028610282685
linear,65,69,0,-1,,0,0.9865172116915586,1724.789400088351
linear,65,70,0,-1,,0,0.9988710154340199,1737.4182324286603
linear,65,71,0,-1,,0,0.9967591135300989,1703.2137635472313
linear,65,72,0,-1,,0,0.8817167957233601,1702.9261958232346
linear,65,73,0,-1,,0,0.9999550667148653,1736.4399896192053
linear,65,74,0,-1,,0,0.9998992834047893,1733.5700027806563
linear,65,75,0,-1,,0,0.999999,1735.4166589261645
linear,65,76,0,-1,,0,0.999999,1704.7750681165223
linear,65,77,0,-1,,0,0.9855527843956443,1737.950566632369
linear,65,78,0,-1,,0,0.999999,1722.6678358480658
linear,65,79,0,-1,,0,0.999999,1731.621309039285
linear,65,80,0,-1,,0,0.9999081841775491,1726.1125930521773
linear,65,81,0,-1,,0,0.9996323153339157,1732.369274480128
linear,65,82,0,-1,,0,0.9999654120595556,1735.2775169852948
linear,65,83,0,-1,,0,0.996344174904966,1727.0185142964938
linear,65,84,0,-1,,0,0.9999936248320394,1721.6452916108442
linear,65,85,0,-1,,0,0.9998697396565321,1721.9871155414223
linear,65,86,0,-1,,0,0.999999,1725.7271406154507
linear,65,87,0,-1,,0,0.999999,1729.3468163543794
linear,65,88,0,-1,,0,0.9804526513296646,1716.4673375798582
linear,65,89,0,-1,,0,0.8726635821671508,1713.1577522331527
linear,65,90,0,-1,,0,0.9985320627100525,1728.0698483895526
linear,65,91,0,-1,,0,0.999999,1735.7430770658739
linear,65,92,0,-1,,0,0.999999,1732.062575732384
linear,65,93,0,-1,,0,0.999999,1720.949137608143
linear,65,94,0,-1,,0,0.9996106025807787,1729.7724278402636
linear,65,95,0,-1,,0,0.9999480060381016,1725.209865420711
linear,65,96,0,-1,,0,0.9740963647592308,1729.32487827407
linear,65,97,0,-1,,0,0.999999,1739.9815786754477
linear,65,98,0,-1,,0,0.999999,1717.9768134807368
linear,65,99,0,-1,,0,0.9900970292865762,1703.63926664079
linear,70,0,0,-1,,0,0.999999,1979.4831385768093
linear,70,1,0,-1,,0,0.9998772327072423,1956.2416882967677
linear,70,2,0,-1,,0,0.9889418504836576,1960.8244296581674
linear,70,3,0,-1,,0,0.999999,1977.4635030548911
linear,70,4,0,-1,,0,0.9994680484007925,1974.9423640142923
linear,70,5,0,-1,,0,0.999999,1987.6501914569712
linear,70,6,0,-1,,0,0.999999,1974.9466796964716
linear,70,7,0,-1,,0,0.8812544006605574,1972.8166938053753
linear,70,8,0,-1,,0,0.901020413152215,1971.4103753320217
linear,70,9,0,-1,,0,0.999999,1960.2921064525856
linear,70,10,0,-1,,0,0.9999896623706652,1980.7640066619804
linear,70,11,0,-1,,0,0.9999926440490293,1979.2566541261785
linear,70,12,0,-1,,0,0.9998860117796581,1969.9704698863202
linear,70,13,0,-1,,0,0.9959026970123941,1978.9104994634502
linear,70,14,0,-1,,0,0.9976683488337672,1985.5293217200922
linear,70,15,0,-1,,0,0.999999,1957.440975390771
linear,70,16,0,-1,,0,0.999999,1986.0719638892663
linear,70,17,0,-1,,0,0.999999,1978.9541311909375
linear,70,18,0,-1,,0,0.9723860054462176,1989.0927206188449
linear,70,19,0,-1,,0,0.999999,1985.23369511616
linear,70,20,0,-1,,0,0.999999,1923.288584947195
linear,70,21,0,-1,,0,0.9996390663603292,1984.767872331414
linear,70,22,0,-1,,0,0.999999,1984.2789497171045
linear,70,23,0,-1,,0,0.999999,1970.0173701872575
